estado,aborto,religiao,preco,lei,fundos,esc,renda,protesto,lnaborto
MISSISSIPPI,12.399999618530272,38.0,256,0,0,64.30000305175781,14082,100,2.5176963806152344
NEW_MEXICO,17.700000762939453,44.70000076293945,332,0,0,75.0999984741211,15458,20,2.8735647201538086
UTAH,9.300000190734863,76.69999694824219,298,1,0,85.0999984741211,15573,0,2.2300143241882324
WEST_VIRGINIA,7.699999809265137,9.800000190734863,251,0,1,66.0,15598,50,2.041220188140869
ARKANSAS,13.5,30.0,248,1,0,66.30000305175781,15635,33,2.602689743041992
LOUISIANA,13.399999618530272,50.900001525878906,228,1,0,68.30000305175781,15931,60,2.59525465965271
SOUTH_CAROLINA,14.199999809265137,30.299999237060547,292,1,0,68.30000305175781,16212,57,2.653241872787476
MONTANA,18.200000762939453,26.899999618530277,329,0,0,81.0,16227,50,2.901421546936035
OKLAHOMA,12.5,36.29999923706055,281,0,0,74.5999984741211,16420,75,2.525728702545166
ALABAMA,18.200000762939453,36.400001525878906,272,1,0,66.9000015258789,16522,89,2.901421546936035
KENTUCKY,11.399999618530272,36.70000076293945,320,0,0,64.5999984741211,16528,75,2.4336133003234863
IDAHO,7.199999809265137,36.79999923706055,303,0,0,79.69999694824219,16649,50,1.974081039428711
NORTH_DAKOTA,10.699999809265137,56.29999923706055,370,1,0,76.69999694824219,17048,100,2.370243787765503
SOUTH_DAKOTA,6.800000190734863,38.900001525878906,400,0,0,66.30000305175781,17198,100,1.916922688484192
ARIZONA,24.100000381469727,29.299999237060547,249,0,0,78.69999694824219,17401,55,3.182211875915528
TENNESSEE,16.200000762939453,30.899999618530277,300,0,0,67.0999984741211,17674,43,2.7850112915039062
NORTH_CAROLINA,22.399999618530277,25.899999618530277,291,0,1,70.0,17863,54,3.1090610027313232
MAINE,14.699999809265137,22.399999618530277,328,0,0,78.80000305175781,18163,0,2.687847375869751
IOWA,11.399999618530272,29.200000762939453,280,0,0,80.0999984741211,18275,50,2.4336133003234863
INDIANA,12.0,16.5,288,1,0,75.5999984741211,18366,67,2.4849066734313965
TEXAS,23.100000381469727,41.79999923706055,257,0,0,72.0999984741211,18437,56,3.139832735061645
GEORGIA,24.0,28.600000381469727,319,1,0,70.9000015258789,18549,50,3.178053855895996
OREGON,23.899999618530277,15.800000190734863,248,0,1,81.5,18605,50,3.1738784313201904
WYOMING,4.300000190734863,29.299999237060547,378,1,0,83.0,18631,100,1.4586150646209717
VERMONT,21.200000762939453,26.600000381469727,276,0,1,80.80000305175781,18792,50,3.0540013313293457
MISSOURI,11.600000381469728,32.20000076293945,348,1,0,66.9000015258789,18970,50,2.451005220413208
NEBRASKA,15.699999809265137,30.899999618530277,279,1,0,81.80000305175781,18974,100,2.7536606788635254
WISCONSIN,13.600000381469728,41.59999847412109,276,1,0,78.5999984741211,19038,67,2.610069751739502
OHIO,19.5,24.700000762939453,298,1,0,75.69999694824219,19040,60,2.970414400100708
KANSAS,22.399999618530277,21.299999237060547,340,1,0,81.30000305175781,19387,67,3.1090610027313232
MICHIGAN,25.200000762939453,28.0,352,1,0,76.80000305175781,19586,28,3.226844072341919
FLORIDA,30.0,22.600000381469727,271,0,0,74.4000015258789,19711,37,3.40119743347168
RHODE_ISLAND,30.0,63.900001525878906,322,1,0,72.0,20276,50,3.40119743347168
MINNESOTA,15.600000381469728,44.59999847412109,270,1,0,82.4000015258789,20503,67,2.7472708225250244
PENNSYLVANIA,18.600000381469727,37.0,296,0,0,74.69999694824219,20642,82,2.923161506652832
COLORADO,23.600000381469727,21.200000762939453,309,0,0,84.4000015258789,20666,43,3.1612467765808105
DELAWARE,35.20000076293945,19.799999237060547,247,0,0,77.5,20724,0,3.5610461235046387
VIRGINIA,22.700000762939453,19.899999618530277,267,0,0,75.19999694824219,20883,38,3.122364997863769
WASHINGTON,27.700000762939453,17.799999237060547,270,0,1,83.80000305175781,21289,24,3.32143235206604
CALIFORNIA,42.09999847412109,28.100000381469727,293,0,1,76.19999694824219,21348,36,3.740047693252564
NEVADA,44.20000076293945,23.5,275,0,0,78.80000305175781,21648,33,3.788724899291992
ILLINOIS,25.399999618530277,37.09999847412109,272,0,0,76.19999694824219,21774,47,3.2347490787506104
NEW_HAMPSHIRE,14.600000381469728,27.799999237060547,372,0,0,82.19999694824219,21933,50,2.681021451950073
ALASKA,16.5,18.100000381469727,461,0,1,86.5999984741211,22067,0,2.8033604621887207
HAWAII,46.0,26.700000762939453,422,0,1,80.0999984741211,22200,0,3.828641414642334
MARYLAND,26.399999618530277,22.799999237060547,264,0,0,78.4000015258789,23268,50,3.2733640670776367
MASSACHUSETTS,28.399999618530277,50.09999847412109,330,1,1,80.0,23676,70,3.346389055252075
NEW_YORK,46.20000076293945,41.79999923706055,338,0,1,74.80000305175781,24095,60,3.832979917526245
NEW_JERSEY,31.0,42.70000076293945,316,0,1,76.69999694824219,26091,64,3.4339871406555176
CONNECTICUT,26.200000762939453,43.400001525878906,374,0,1,79.19999694824219,27150,60,3.2657594680786133
