adubo,produtividade
303,99.18
128,107.2
255,120.53
197,126.87
108,101.33
297,113.66
281,117.49
129,106.82
312,104.16
87,80.02
262,115.19
224,122.5
161,101.55
29,48.35
288,109.12
192,120.61
137,103.75
126,105.32
216,121.54
124,112.22
172,115.86
131,105.23
37,57.01
95,80.33
272,111.98
265,128.73
220,126.24
161,116.12
311,115.29
272,117.51
94,89.57
190,119.03
307,98.87
256,126.9
131,105.57
161,115.02
175,116.49
291,110.52
234,108.86
139,110.38
159,128.64
48,70.55
168,115.39
89,82.87
48,64.58
47,66.05
85,85.78
230,128.16
74,74.59
191,127.66
201,123.05
310,105.51
157,112.86
252,123.7
30,56.52
213,123.3
314,111.18
34,69.61
292,104.04
67,63.99
223,123.62
28,44.31
38,58.26
60,62.18
290,115.53
255,129.33
219,129.9
215,116.11
108,95.72
178,124.59
165,127.83
305,104.59
156,109.07
244,129.21
128,103.44
298,106.21
276,124.38
318,95.75
88,83.85
281,122.82
163,112.17
173,122.92
183,112.32
48,69.23
284,119.08
201,132.14
52,65.54
242,120.24
54,67.77
134,114.28
221,118.45
160,114.48
39,70.35
207,127.37
130,110.88
134,104.55
69,82.94
75,73.84
318,96.91
201,116.25
196,130.4
254,122.36
135,102.33
66,73.6
202,124.97
141,117.4
141,99.95
46,71.37
146,117.37
36,51.81
291,111.98
132,110.14
235,121.05
196,122.46
152,106.73
122,92.12
30,66.85
216,124.01
50,67.14
90,92.26
308,117.84
133,113.2
129,99.66
227,122.34
101,94.9
130,111.11
112,95.64
229,125.38
43,62.43
134,116.34
319,89.63
212,123.3
163,118.17
107,101.38
27,49.51
293,108.8
296,117.28
314,109.85
164,111.08
198,113.37
107,100.66
269,113.79
195,125.53
109,107.47
109,99.35
127,106.72
221,123.83
251,130.24
51,75.11
299,112.81
246,126.72
261,120.7
79,80.21
63,78.77
240,122.01
302,106.14
124,94.9
50,71.9
118,95.87
271,111.93
267,117.87
90,93.69
66,65.11
169,121.33
116,103.46
275,110.52
159,108.05
88,87.0
149,124.46
87,86.01
231,129.7
312,114.1
203,112.41
91,89.61
264,126.1
129,102.95
46,70.66
66,69.14
131,97.64
270,116.27
88,92.17
255,118.83
45,68.14
272,109.08
234,119.28
46,71.59
33,38.78
95,93.55
74,75.01
214,118.3
161,113.6
192,112.07
106,102.53
314,111.21
51,74.0
219,124.07
179,113.44
317,110.57
306,101.92
164,110.64
154,126.89
127,112.01
72,82.13
225,132.3
286,113.93
163,119.76
295,108.41
94,89.09
100,94.6
307,119.21
296,108.86
174,125.0
185,120.23
126,94.07
29,39.13
132,102.83
316,113.61
172,119.66
262,131.65
68,78.21
240,131.45
197,123.34
316,101.28
114,104.73
160,110.81
101,85.76
241,117.9
41,57.31
239,124.25
270,124.37
94,94.99
128,118.77
124,92.09
283,115.35
67,92.61
294,111.83
48,56.69
31,47.93
264,114.05
40,56.0
190,131.8
175,109.98
286,111.48
222,132.01
315,109.2
224,125.25
120,100.43
301,117.71
44,55.52
225,129.16
