year,consumo,renda,riqueza,juros
1947,976.4000244140624,1035.199951171875,5166.81494140625,-10.350939750671388
1948,998.0999755859376,1090.0,5280.7568359375,-4.719803810119629
1949,1025.300048828125,1095.5999755859375,5607.35107421875,1.0440629720687866
1950,1090.9000244140625,1192.699951171875,5759.51513671875,0.4073460102081299
1951,1107.0999755859375,1227.0,6086.05615234375,-5.283152103424072
1952,1142.4000244140625,1266.800048828125,6243.86376953125,-0.2770110070705414
1953,1197.199951171875,1327.5,6355.61279296875,0.5611370205879211
1954,1221.9000244140625,1344.0,6797.02685546875,-0.1384759992361068
1955,1310.4000244140625,1433.800048828125,7172.2421875,0.2619970142841339
1956,1348.800048828125,1502.300048828125,7375.18017578125,-0.7361239790916443
1957,1381.800048828125,1539.5,7315.2861328125,-0.260683000087738
1958,1393.0,1553.699951171875,7869.97509765625,-0.5746300220489502
1959,1470.699951171875,1623.800048828125,8188.05419921875,2.295943021774292
1960,1510.800048828125,1664.800048828125,8351.7568359375,1.5111809968948364
1961,1541.199951171875,1720.0,8971.8720703125,1.2964320182800293
1962,1617.300048828125,1803.5,9091.544921875,1.3959219455718994
1963,1684.0,1871.5,9436.0966796875,2.0576159954071045
1964,1784.800048828125,2006.9000244140625,10003.400390625,2.0265989303588867
1965,1897.5999755859373,2131.0,10562.8095703125,2.1116690635681152
1966,2006.0999755859373,2244.60009765625,10522.0400390625,2.020251035690308
1967,2066.199951171875,2340.5,11312.0703125,1.212615966796875
1968,2184.199951171875,2448.199951171875,12145.41015625,1.0549860000610352
1969,2264.800048828125,2524.300048828125,11672.25,1.7321540117263794
1970,2317.5,2630.0,11650.0400390625,1.1662280559539795
1971,2405.199951171875,2745.300048828125,12312.919921875,-0.712240993976593
1972,2550.5,2874.300048828125,13499.919921875,-0.1557369977235794
1973,2675.89990234375,3072.300048828125,13080.9599609375,1.4138389825820925
1974,2653.699951171875,3051.89990234375,11868.7900390625,-1.042570948600769
1975,2710.89990234375,3108.5,12634.3603515625,-3.5335850715637207
1976,2868.89990234375,3243.5,13456.7802734375,-0.6567659974098206
1977,2992.10009765625,3360.699951171875,13786.3095703125,-1.1904269456863403
1978,3124.699951171875,3527.5,14450.5,0.1130480021238327
1979,3203.199951171875,3628.60009765625,15340.0,1.7042100429534912
1980,3193.0,3658.0,15964.9501953125,2.2984960079193115
1981,3236.0,3741.10009765625,15964.990234375,4.70384693145752
1982,3275.5,3791.699951171875,16312.509765625,4.449027061462402
1983,3454.300048828125,3906.89990234375,16944.849609375,4.690971851348877
1984,3640.60009765625,4207.60009765625,17526.75,5.848331928253174
1985,3820.89990234375,4347.7998046875,19068.349609375,4.330503940582275
1986,3981.199951171875,4486.60009765625,20530.0390625,3.768030881881714
1987,4113.39990234375,4582.5,21235.689453125,2.8194689750671387
1988,4279.5,4784.10009765625,22331.990234375,3.2870609760284424
1989,4393.7001953125,4906.5,23659.80078125,4.31795597076416
1990,4474.5,5014.2001953125,23105.130859375,3.595025062561035
1991,4466.60009765625,5033.0,24050.2109375,1.8027570247650144
1992,4594.5,5189.2998046875,24418.19921875,1.0074390172958374
1993,4748.89990234375,5261.2998046875,25092.330078125,0.6247900128364563
1994,4928.10009765625,5397.2001953125,25218.599609375,2.2060019969940186
1995,5075.60009765625,5539.10009765625,27439.73046875,3.3331429958343506
1996,5237.5,5677.7001953125,29448.189453125,3.0832009315490723
1997,5423.89990234375,5854.5,32664.0703125,3.119999885559082
1998,5683.7001953125,6168.60009765625,35587.01953125,3.583909034729004
1999,5968.39990234375,6320.0,39591.26171875,3.2452709674835205
2000,6257.7998046875,6539.2001953125,38167.71875,3.575969934463501
