consumo,renda,riqueza
80.61,92.9,933.3
75.3,78.6,793.7
60.66,70.7,720.5
50.63,59.1,588.9
66.14,68.0,679.5
53.13,57.2,577.0
27.08,26.7,262.9
72.26,82.1,816.1
55.24,49.3,499.1
62.64,65.6,649.9
39.92,51.2,522.1
27.62,46.7,456.8
60.45,71.5,720.9
31.83,41.6,418.0
52.74,54.9,569.9
59.18,69.4,682.7
59.63,68.4,679.4
51.62,52.0,518.4
21.18,23.9,253.1
68.92,79.3,786.8
63.89,67.2,671.4
27.8,36.0,359.1
70.41,74.9,749.4
37.56,42.5,438.9
66.65,69.1,684.3
50.06,60.2,613.3
65.07,76.3,778.7
38.92,34.6,355.5
62.61,68.9,677.2
60.28,64.0,644.2
37.56,45.2,448.6
55.54,58.5,607.9
40.03,41.8,415.9
57.45,63.5,644.4
60.27,58.2,573.9
68.56,73.1,733.5
52.05,50.0,493.0
51.34,60.5,599.1
57.12,69.0,695.5
68.42,71.4,703.8
53.15,53.1,517.4
25.29,29.0,300.6
49.36,48.2,491.3
57.99,72.1,721.8
51.25,53.8,537.8
59.65,66.6,681.8
44.79,48.4,486.1
37.41,40.9,423.1
55.3,65.4,649.0
37.19,45.1,463.7
47.43,44.4,450.2
53.75,68.5,686.3
69.16,79.0,792.9
60.86,67.2,678.5
49.68,50.8,504.3
48.45,60.3,611.9
45.67,52.4,539.0
36.51,35.7,355.9
43.8,47.0,470.3
34.0,39.7,391.2
47.05,55.9,568.7
59.26,63.1,620.5
69.46,83.0,839.3
39.87,53.5,538.1
58.74,79.8,799.9
58.03,63.2,630.4
50.18,54.8,538.8
36.32,36.4,380.0
57.12,64.8,641.8
39.95,42.7,418.7
24.79,25.5,254.0
67.54,71.3,717.3
40.01,51.2,511.1
70.64,83.8,838.4
46.16,54.4,546.0
47.36,50.1,512.7
56.24,60.8,610.7
44.87,47.1,479.9
60.6,59.1,593.0
28.76,30.2,298.3
79.08,89.1,909.6
61.69,62.3,630.4
48.98,57.7,578.9
65.91,74.7,745.4
36.58,42.0,423.6
38.04,44.7,448.3
49.41,57.7,554.3
50.95,57.0,584.9
42.34,55.6,577.7
52.53,58.5,552.3
31.92,38.0,379.5
51.18,62.2,623.1
77.73,67.4,693.8
46.17,57.8,570.1
18.79,20.0,189.4
59.78,65.3,660.5
49.03,55.4,548.5
46.6,53.6,547.0
40.35,46.1,443.8
51.2,53.6,537.0
65.09,85.4,858.5
53.52,42.9,433.1
37.15,45.8,447.2
37.1,38.4,384.0
56.88,56.9,564.6
54.11,61.4,626.5
35.88,46.0,467.6
64.61,74.7,753.4
56.72,69.2,683.4
64.66,70.8,709.7
41.5,48.6,489.3
46.11,55.1,545.9
63.2,68.2,697.1
60.42,67.6,680.6
38.75,53.8,546.6
49.7,57.1,565.4
43.63,46.6,454.0
60.85,69.4,701.9
54.59,62.1,606.9
66.45,58.5,597.5
57.53,69.7,701.2
34.9,44.3,428.9
56.42,68.7,680.2
78.3,78.4,763.3
58.83,59.1,593.9
57.73,60.7,604.3
38.65,44.8,450.7
28.33,36.8,380.0
48.16,55.8,562.5
31.19,41.5,412.0
40.29,56.8,576.7
49.57,51.8,518.4
41.66,48.4,479.1
49.56,54.6,544.4
82.38,88.6,878.4
61.62,65.7,661.1
55.98,73.7,739.1
68.01,68.3,679.5
44.31,46.9,474.5
46.37,50.0,498.7
40.35,42.6,425.1
50.97,61.4,629.6
41.81,47.0,483.7
61.53,71.9,720.9
44.62,51.8,524.8
61.54,70.2,695.7
62.05,70.5,709.1
43.39,52.4,531.6
58.05,76.3,779.2
60.18,60.5,606.2
