pais,corrupcao,pib_por_trabalhador,pibxpib
Argentina,3.0,8278.544921875,68534304.0
Australia,8.699999809265137,20930.2109375,438073728.0
Austria,7.5,26577.109375,706342720.0
Belarus,3.900000095367432,1511.770263671875,2285449.25
Belgium,5.400000095367432,25006.046875,625302400.0
Bolivia,2.799999952316284,1064.7095947265625,1133606.5
Botswana,6.099999904632568,3126.788330078125,9776805.0
Brazil,4.0,4988.2802734375,24882940.0
Bulgaria,2.900000095367432,1542.5311279296875,2379402.25
Cameroon,1.399999976158142,636.3432006835938,404932.65625
Canada,9.199999809265137,20390.388671875,415767936.0
Chile,6.800000190734863,5277.779296875,27854954.0
China,3.5,820.8630981445312,673816.25
Colombia,2.200000047683716,2562.30712890625,6565418.0
Costa Rica,5.599999904632568,3758.50634765625,14126370.0
Czech Republic,4.800000190734863,6007.5068359375,36090140.0
Denmark,10.0,32758.591796875,1073125312.0
Ecuador,2.299999952316284,1943.076904296875,3775547.75
Egypt,2.900000095367432,1255.3592529296875,1575926.875
El Salvador,3.5999999046325684,2042.6495361328125,4172417.25
Estonia,5.699999809265137,4038.497802734375,16309465.0
Finland,9.600000381469728,25274.228515625,638786624.0
France,6.699999809265137,24508.73046875,600677888.0
Germany,7.900000095367432,26624.78515625,708879168.0
Ghana,3.299999952316284,401.6094665527344,161290.15625
Greece,4.900000095367432,12599.3330078125,158743200.0
Guatemala,3.0999999046325684,1809.7803955078125,3275305.0
Honduras,1.7000000476837158,870.6405639648438,758015.0
Hong Kong,7.800000190734863,25506.826171875,650598208.0
Hungary,5.0,4582.7607421875,21001696.0
Iceland,9.300000190734863,30261.775390625,915775040.0
India,2.900000095367432,423.8035888671875,179609.484375
Indonesia,2.0,477.8016357421875,228294.40625
Ireland,8.199999809265137,23732.501953125,563231680.0
Israel,7.099999904632568,18403.380859375,338684416.0
Italy,4.599999904632568,21385.806640625,457352736.0
Ivory Coast,3.0999999046325684,779.4102783203125,607480.375
Jamaica,3.799999952316284,3419.204345703125,11690958.0
Japan,5.800000190734863,30508.271484375,930754624.0
Jordan,4.699999809265137,1721.4334716796875,2963333.25
Kenya,2.5,472.2301330566406,223001.296875
Latvia,2.700000047683716,2745.62548828125,7538459.5
Luxembourg,8.699999809265137,45570.65234375,2076684416.0
Malawi,4.099999904632568,158.05479431152344,24981.318359375
Malaysia,5.300000190734863,3248.740966796875,10554318.0
Mauritius,5.0,3593.241455078125,12911384.0
Mexico,3.299999952316284,4422.1533203125,19555440.0
Morocco,3.700000047683716,1409.4609375,1986580.125
Namibia,5.300000190734863,1949.123291015625,3799081.5
Netherlands,9.0,25649.65625,657904896.0
New Zealand,9.399999618530272,14264.6123046875,203479168.0
Nicaragua,3.0,723.5706787109375,523554.53125
Nigeria,1.899999976158142,270.3451538085937,73086.5
Norway,9.0,34101.79296875,1162932224.0
Pakistan,2.700000047683716,472.64788818359375,223396.03125
Paraguay,1.5,1542.69873046875,2379919.25
Peru,4.5,2251.86962890625,5070917.0
Philippines,3.299999952316284,873.7626953125,763461.25
Poland,4.599999904632568,4471.65087890625,19995662.0
Portugal,6.5,11703.1806640625,136964432.0
Romania,3.0,1871.5501708984373,3502700.0
Russia,2.400000095367432,1844.48583984375,3402128.0
Senegal,3.299999952316284,538.676513671875,290172.375
Singapore,9.100000381469728,20981.724609375,440232768.0
Slovak Republic,3.900000095367432,5427.60595703125,29458906.0
South Africa,5.199999809265137,3205.168701171875,10273106.0
South Korea,4.199999809265137,7462.8388671875,55693964.0
Spain,6.099999904632568,15126.4345703125,228809024.0
Sweden,9.5,28592.646484375,817539456.0
Switzerland,8.899999618530273,38344.92578125,1470333312.0
Tanzania,1.899999976158142,265.8750915527344,70689.5625
Thailand,3.0,1821.8414306640625,3319106.25
Tunisia,5.0,2122.794921875,4506258.5
Turkey,3.400000095367432,4177.43359375,17450952.0
Uganda,2.5999999046325684,286.6127319335937,82146.859375
Ukraine,2.799999952316284,835.2603149414062,697659.8125
United Kingdom,8.699999809265137,24893.48828125,619685760.0
United States,7.5,31518.84765625,993437760.0
Uruguay,4.300000190734863,7754.32421875,60129544.0
Venezuela,2.299999952316284,3901.189208984375,15219277.0
Vietnam,2.5,355.5881042480469,126442.8984375
Zambia,3.5,326.1610412597656,106381.0234375
Zimbabwe,4.199999809265137,495.3057861328125,245327.828125
