mes,credito_rural,juros_reais,pib_agro,preco_soja
2009-01,95.38,7.8,100.0,114.23
2009-02,100.97,8.088,101.43,113.94
2009-03,94.67,8.289,103.69,116.83
2009-04,97.07,7.892,99.37,115.91
2009-05,97.75,7.893,103.67,112.91
2009-06,99.4,7.943,103.57,112.69
2009-07,99.62,6.965,103.74,114.51
2009-08,91.76,7.152,104.57,112.11
2009-09,88.45,7.332,102.35,112.88
2009-10,92.7,7.421,105.26,109.06
2009-11,92.96,7.414,102.89,107.06
2009-12,95.95,7.264,107.74,108.3
2010-01,94.65,7.134,109.4,112.48
2010-02,85.87,8.25,103.92,113.49
2010-03,90.38,8.409,104.18,115.66
2010-04,86.6,8.163,103.38,120.51
2010-05,110.16,8.25,106.95,119.72
2010-06,98.1,8.834,106.3,119.56
2010-07,98.23,8.402,109.21,117.93
2010-08,101.46,8.981,113.13,116.6
2010-09,98.48,8.647,110.61,117.58
2010-10,85.46,7.906,107.42,119.61
2010-11,102.51,8.081,107.08,120.23
2010-12,93.89,8.199,106.64,121.52
2011-01,87.68,8.043,104.53,119.89
2011-02,82.98,8.562,110.65,119.95
2011-03,88.8,8.994,111.45,119.84
2011-04,82.78,8.55,110.11,122.83
2011-05,88.57,8.485,108.9,124.47
2011-06,96.76,8.731,111.1,123.46
2011-07,89.97,8.619,103.42,121.41
2011-08,93.01,8.414,105.94,121.96
2011-09,93.89,8.043,107.99,121.02
2011-10,92.67,8.319,112.95,122.25
2011-11,94.57,8.089,113.82,122.32
2011-12,94.11,7.663,113.74,123.52
2012-01,87.58,7.075,110.09,122.47
2012-02,109.48,6.4,111.05,119.83
2012-03,123.07,5.902,115.32,121.12
2012-04,106.64,6.296,115.77,119.46
2012-05,103.74,6.724,116.31,120.69
2012-06,115.66,7.329,115.76,124.96
2012-07,104.76,6.997,111.89,124.98
2012-08,104.34,6.269,111.79,126.73
2012-09,122.58,6.511,112.09,127.74
2012-10,98.99,7.497,112.65,127.76
2012-11,114.93,7.32,116.37,129.52
2012-12,122.75,7.376,113.97,127.71
2013-01,127.26,7.605,111.9,129.11
2013-02,111.07,7.441,109.46,131.51
2013-03,97.0,6.804,111.56,131.77
2013-04,119.05,7.282,115.39,133.28
2013-05,126.14,7.537,117.37,135.54
2013-06,129.32,6.681,120.49,135.71
2013-07,121.68,6.861,117.29,138.11
2013-08,133.49,6.357,115.75,139.3
2013-09,121.23,6.314,113.82,138.44
2013-10,127.24,6.137,115.51,136.59
2013-11,122.63,6.807,121.17,138.12
2013-12,121.4,7.156,124.56,136.44
2014-01,131.35,7.558,125.95,135.43
2014-02,102.03,7.273,123.97,135.38
2014-03,99.64,7.772,124.43,132.64
2014-04,120.53,8.141,123.38,135.11
2014-05,113.61,7.755,120.38,136.02
2014-06,113.21,7.608,120.08,137.9
2014-07,117.23,7.542,121.53,139.49
2014-08,113.62,7.379,120.68,141.86
2014-09,99.06,7.556,120.84,142.63
2014-10,85.1,7.619,117.98,141.41
2014-11,89.91,7.862,119.06,139.14
2014-12,87.57,7.699,120.42,139.62
2015-01,100.22,7.34,121.65,139.13
2015-02,118.74,7.308,124.09,141.45
2015-03,119.24,7.485,124.09,143.85
2015-04,128.2,7.034,123.66,145.12
2015-05,118.36,7.084,125.45,145.75
2015-06,120.24,7.219,124.55,145.11
2015-07,105.73,7.125,123.98,147.22
