propriedade,custo_ha,area_ha,adubo_kg,distancia_km,tecnologia
PR-001,3047.82,346,438.7,15,0
PR-002,3243.59,455,366.8,111,0
PR-003,3454.07,316,381.1,190,1
PR-004,2858.02,812,292.9,121,0
PR-005,2596.37,374,215.3,9,0
PR-006,3085.22,2645,453.9,46,0
PR-007,2704.6,272,265.8,42,0
PR-008,2893.56,281,300.9,14,0
PR-009,3355.14,217,338.8,284,0
PR-010,2622.25,935,224.6,24,0
PR-011,3061.37,247,245.1,392,0
PR-012,2943.64,1647,341.5,14,0
PR-013,2460.6,340,277.3,15,1
PR-014,3586.76,1250,322.7,400,0
PR-015,2806.35,3409,382.6,19,0
PR-016,3024.16,342,345.6,29,0
PR-017,2841.17,66,335.5,52,0
PR-018,3080.79,1145,359.5,29,1
PR-019,2369.82,1144,234.4,12,1
PR-020,3076.92,634,312.1,255,0
PR-021,3130.22,669,466.8,61,1
PR-022,3050.19,1813,406.2,43,1
PR-023,2737.78,165,324.0,109,1
PR-024,2582.55,648,241.1,51,0
PR-025,2752.24,3155,315.5,34,1
PR-026,2982.36,409,366.4,9,0
PR-027,2674.52,628,278.5,42,0
PR-028,3226.66,612,439.1,9,0
PR-029,2835.64,1633,285.2,29,0
PR-030,2684.25,170,317.5,99,1
PR-031,2672.67,478,329.0,13,0
PR-032,3243.91,1389,363.3,138,0
PR-033,3047.06,1974,325.7,107,0
PR-034,3394.47,250,495.3,10,1
PR-035,2509.85,977,247.1,41,1
PR-036,3115.13,570,374.3,78,0
PR-037,3013.83,970,369.3,33,1
PR-038,2789.71,2457,257.7,140,0
PR-039,2891.9,184,309.2,15,0
PR-040,2712.92,329,275.8,9,0
PR-041,2592.74,526,273.5,13,1
PR-042,3007.28,115,342.4,111,0
PR-043,3731.89,153,411.2,107,0
PR-044,2883.16,555,290.2,201,1
PR-045,3107.13,1141,360.6,87,0
PR-046,3225.89,767,319.8,260,0
PR-047,2701.42,451,241.0,91,0
PR-048,3117.93,685,308.1,254,0
PR-049,2867.18,1033,324.4,9,0
PR-050,3165.63,959,470.2,211,0
PR-051,2939.01,197,343.9,16,1
