mes,consumo_gwh,producao_industrial,tarifa_kwh,temperatura
2011-01,585.73,100.0,0.42,18.9
2011-02,589.17,100.06,0.4493,21.8
2011-03,598.83,106.28,0.4323,23.1
2011-04,624.5,102.78,0.4392,26.4
2011-05,623.97,103.89,0.4517,29.0
2011-06,606.94,102.57,0.4501,28.2
2011-07,623.13,102.48,0.4516,27.8
2011-08,639.18,96.71,0.4618,30.2
2011-09,639.11,97.25,0.4607,28.6
2011-10,602.24,93.01,0.4628,27.3
2011-11,587.57,93.3,0.4353,26.1
2011-12,568.65,94.37,0.4386,21.6
2012-01,598.09,106.75,0.4297,21.3
2012-02,605.72,101.43,0.44,23.3
2012-03,635.99,109.54,0.4506,22.7
2012-04,674.42,106.0,0.4367,27.8
2012-05,693.64,108.28,0.4094,30.3
2012-06,683.09,107.98,0.4107,28.8
2012-07,671.1,108.61,0.4387,29.8
2012-08,657.64,106.24,0.4612,28.7
2012-09,606.39,98.45,0.4919,27.6
2012-10,626.52,99.68,0.4691,26.3
2012-11,637.39,104.04,0.4842,24.9
2012-12,622.21,110.66,0.4509,20.1
2013-01,618.29,109.94,0.4427,20.1
2013-02,625.36,111.32,0.4248,20.5
2013-03,630.53,115.51,0.4342,21.8
2013-04,693.07,112.68,0.4192,26.3
2013-05,680.44,115.41,0.4548,26.9
2013-06,715.14,117.12,0.453,29.6
2013-07,697.44,110.02,0.4542,30.1
2013-08,675.32,108.6,0.4599,30.5
2013-09,651.24,107.5,0.4668,28.9
2013-10,642.56,109.44,0.4518,25.6
2013-11,630.36,105.89,0.4496,25.1
2013-12,608.02,104.04,0.4359,21.6
2014-01,607.88,103.68,0.4586,22.9
2014-02,592.79,112.74,0.4941,21.4
2014-03,643.07,120.72,0.488,23.6
2014-04,639.48,122.56,0.5062,25.0
2014-05,650.29,123.88,0.4917,27.1
2014-06,620.51,116.79,0.4973,28.4
2014-07,611.53,115.65,0.4891,28.4
2014-08,605.59,106.42,0.479,29.2
2014-09,575.86,103.21,0.5008,27.3
2014-10,566.77,97.13,0.4651,26.3
2014-11,572.94,103.67,0.4723,23.6
2014-12,561.05,108.04,0.4885,20.6
2015-01,542.63,111.12,0.4832,19.2
2015-02,588.42,117.05,0.4799,22.7
2015-03,597.19,117.64,0.4774,22.9
2015-04,660.31,127.41,0.4759,25.8
2015-05,639.53,122.32,0.4952,27.1
2015-06,664.08,127.12,0.5359,30.0
2015-07,640.06,124.02,0.5273,29.6
2015-08,663.6,118.96,0.519,28.1
2015-09,652.39,120.07,0.5101,27.3
2015-10,635.67,116.61,0.5171,24.3
2015-11,616.42,116.53,0.5302,22.5
2015-12,609.07,122.4,0.5188,20.4
2016-01,567.67,121.95,0.5465,19.2
2016-02,593.95,126.86,0.5146,21.8
2016-03,622.89,138.07,0.5296,23.0
2016-04,630.97,135.2,0.5376,25.6
2016-05,632.4,128.26,0.5521,26.6
2016-06,634.86,122.26,0.5434,30.3
2016-07,622.06,116.71,0.5413,30.2
2016-08,585.27,115.89,0.544,27.5
2016-09,596.7,118.01,0.5584,29.2
2016-10,588.37,119.07,0.5463,24.6
2016-11,569.07,114.8,0.5552,22.8
2016-12,576.83,120.99,0.5703,20.8
2017-01,609.94,130.07,0.5638,19.9
2017-02,613.4,129.18,0.559,18.3
2017-03,647.35,135.35,0.5595,22.3
2017-04,632.38,138.87,0.5622,25.0
2017-05,656.93,139.26,0.5416,26.5
2017-06,675.86,125.41,0.5472,29.0
2017-07,678.42,124.88,0.5592,30.0
2017-08,623.69,121.25,0.5993,29.7
2017-09,592.97,119.38,0.5963,27.6
2017-10,572.13,114.93,0.5751,24.3
2017-11,579.67,125.83,0.579,23.5
2017-12,591.8,125.25,0.5904,23.2
2018-01,590.06,131.6,0.5837,19.7
2018-02,628.84,136.41,0.5616,22.6
2018-03,644.8,136.59,0.568,25.9
2018-04,628.11,137.38,0.5705,26.7
2018-05,664.69,140.59,0.5618,24.8
2018-06,642.72,131.4,0.5698,27.5
2018-07,641.65,124.45,0.5772,30.4
2018-08,629.74,122.34,0.6034,28.6
2018-09,622.57,124.41,0.6037,26.6
2018-10,606.7,121.07,0.5939,25.7
2018-11,607.94,126.31,0.5779,23.2
2018-12,620.09,127.24,0.5883,22.8
2019-01,641.83,126.68,0.5897,22.2
2019-02,649.93,132.13,0.5673,22.1
2019-03,660.16,133.97,0.5766,23.5
2019-04,691.04,137.4,0.5879,23.4
2019-05,698.44,132.55,0.5763,29.4
2019-06,705.85,134.33,0.5645,29.9
2019-07,727.77,133.19,0.561,30.5
2019-08,707.32,127.97,0.5519,29.5
2019-09,671.99,122.67,0.5534,31.1
2019-10,613.26,121.57,0.5766,25.4
2019-11,600.06,119.69,0.6279,25.0
2019-12,595.28,127.49,0.6166,22.3
2020-01,602.17,127.94,0.6125,21.6
2020-02,634.37,132.28,0.5998,21.6
2020-03,647.71,135.74,0.5941,20.9
2020-04,674.33,144.4,0.5826,24.1
2020-05,687.68,141.74,0.5654,29.3
2020-06,683.46,139.3,0.5736,30.6
2020-07,684.63,134.0,0.5585,31.5
2020-08,669.04,137.39,0.5739,29.2
2020-09,683.04,140.47,0.5856,29.1
2020-10,662.27,137.06,0.5999,25.4
2020-11,637.36,135.78,0.5951,22.6
2020-12,622.68,135.66,0.595,22.0
2021-01,638.98,141.74,0.5779,21.2
2021-02,656.46,145.42,0.5752,23.4
2021-03,651.06,145.68,0.5734,22.0
2021-04,661.96,141.01,0.6066,24.6
2021-05,674.62,141.04,0.6127,28.6
2021-06,668.37,140.82,0.6055,30.5
2021-07,637.46,139.7,0.6155,27.8
2021-08,643.46,137.52,0.6313,29.0
2021-09,608.15,134.86,0.6251,25.6
2021-10,611.53,133.66,0.6262,25.9
2021-11,612.82,133.02,0.6207,24.2
2021-12,599.37,138.22,0.6376,21.0
2022-01,592.02,138.55,0.6486,20.5
2022-02,639.22,143.03,0.6232,23.1
2022-03,649.1,149.68,0.6377,23.8
2022-04,688.84,153.11,0.6302,26.2
2022-05,691.05,150.76,0.6485,26.5
2022-06,681.86,146.08,0.6421,28.1
2022-07,675.3,144.37,0.6613,30.6
2022-08,665.54,142.42,0.6638,29.7
2022-09,662.24,135.49,0.6688,27.7
2022-10,648.41,135.6,0.6399,25.4
2022-11,647.14,140.38,0.6297,22.9
2022-12,648.34,140.46,0.6168,23.9
2023-01,666.24,145.77,0.6169,22.1
2023-02,649.62,148.21,0.621,21.2
2023-03,663.62,149.1,0.6013,24.9
2023-04,688.93,153.74,0.6169,27.0
2023-05,682.72,156.28,0.6386,26.7
2023-06,697.13,153.7,0.65,30.0
2023-07,693.73,150.2,0.6432,30.4
2023-08,650.04,145.61,0.655,27.2
2023-09,662.8,145.49,0.6769,28.0
2023-10,661.87,147.15,0.6796,26.6
2023-11,643.84,151.88,0.6917,21.5
2023-12,662.07,156.8,0.6769,21.8
2024-01,652.08,159.66,0.6842,20.8
2024-02,668.71,158.59,0.6517,22.2
2024-03,688.89,157.9,0.678,24.4
2024-04,690.91,156.39,0.687,27.1
2024-05,695.79,160.34,0.7059,27.6
2024-06,699.95,156.8,0.715,30.7
2024-07,717.41,153.76,0.7169,30.9
2024-08,688.21,151.72,0.6923,28.2
2024-09,661.41,148.46,0.7063,28.2
2024-10,624.11,144.04,0.6969,26.4
2024-11,590.02,144.18,0.6946,23.2
2024-12,635.81,150.94,0.6951,22.2
2025-01,640.22,155.96,0.7043,21.5
2025-02,639.95,155.32,0.7079,21.8
2025-03,679.25,159.82,0.6964,25.5
2025-04,689.87,162.01,0.7013,26.8
2025-05,719.56,167.57,0.7204,28.8
2025-06,700.45,165.19,0.7146,28.9
2025-07,703.53,157.05,0.7004,29.9
2025-08,658.82,153.82,0.6964,28.0
2025-09,621.51,144.7,0.6961,27.3
2025-10,616.04,142.06,0.6748,25.4
2025-11,610.63,146.8,0.6549,21.2
2025-12,616.49,151.68,0.6617,20.9
