mes,consumo_energia,preco_frango
2005-01,98.68,42.62
2005-02,99.45,42.09
2005-03,100.62,46.34
2005-04,104.27,47.26
2005-05,105.51,47.32
2005-06,106.75,47.17
2005-07,109.27,46.0
2005-08,113.09,46.64
2005-09,113.11,46.54
2005-10,112.06,45.8
2005-11,112.12,45.43
2005-12,114.57,46.38
2006-01,117.71,45.47
2006-02,114.3,44.9
2006-03,115.77,45.01
2006-04,112.05,45.29
2006-05,110.25,46.36
2006-06,109.51,46.77
2006-07,110.92,45.59
2006-08,111.14,43.32
2006-09,113.74,44.21
2006-10,118.54,42.82
2006-11,117.64,43.52
2006-12,120.01,40.31
2007-01,123.38,40.17
2007-02,123.88,39.62
2007-03,126.63,38.51
2007-04,126.43,35.83
2007-05,123.64,38.09
2007-06,125.49,37.4
2007-07,123.73,36.94
2007-08,124.37,38.0
2007-09,128.54,39.54
2007-10,128.09,41.36
2007-11,126.12,36.3
2007-12,125.83,38.06
2008-01,127.6,36.4
2008-02,128.12,34.82
2008-03,132.81,31.95
2008-04,130.82,31.32
2008-05,133.15,30.33
2008-06,133.27,30.98
2008-07,135.05,30.58
2008-08,135.11,32.3
2008-09,134.35,31.63
2008-10,133.54,29.81
2008-11,135.44,28.35
2008-12,133.55,27.98
2009-01,135.09,26.17
2009-02,139.96,22.43
2009-03,143.76,23.57
2009-04,143.22,21.17
2009-05,145.04,22.07
2009-06,144.4,20.22
2009-07,145.5,22.28
2009-08,147.38,24.34
2009-09,149.99,25.58
2009-10,150.29,25.8
2009-11,150.12,27.11
2009-12,146.0,25.02
2010-01,146.58,25.32
2010-02,150.07,25.32
2010-03,148.44,29.08
2010-04,149.21,29.35
2010-05,151.09,30.46
2010-06,155.05,28.98
2010-07,158.24,28.38
2010-08,160.39,26.73
2010-09,156.78,27.34
2010-10,158.5,26.94
2010-11,161.96,27.99
2010-12,164.04,25.56
2011-01,166.48,25.79
2011-02,165.74,23.78
2011-03,166.58,26.42
2011-04,168.24,26.99
2011-05,168.27,25.93
2011-06,170.67,24.83
2011-07,174.69,24.45
2011-08,175.84,23.78
2011-09,174.6,27.59
2011-10,174.13,29.6
2011-11,175.24,27.8
2011-12,174.99,26.48
2012-01,174.22,26.22
2012-02,173.53,25.56
2012-03,172.58,28.44
2012-04,173.83,28.62
2012-05,172.51,27.2
2012-06,170.52,28.15
2012-07,169.94,26.69
2012-08,172.46,26.7
2012-09,172.83,26.99
2012-10,173.99,26.12
2012-11,173.03,25.52
2012-12,168.09,25.01
2013-01,170.34,27.93
2013-02,170.41,30.07
2013-03,173.94,30.92
2013-04,172.58,31.95
2013-05,174.11,32.06
2013-06,180.35,31.06
2013-07,175.15,31.45
2013-08,176.61,32.77
2013-09,173.16,31.52
