mes,exportacoes_mi_t,preco_chicago,cambio,producao_mi_t
2013-01,5.607,1066.5,3.3994,93.91
2013-02,5.921,1055.5,3.2101,99.34
2013-03,7.186,1038.7,3.3577,92.33
2013-04,8.762,1045.2,3.3155,99.13
2013-05,7.068,1045.5,3.2727,101.16
2013-06,6.754,1040.5,3.2886,98.03
2013-07,6.432,1064.1,3.3107,103.12
2013-08,5.961,1039.3,3.3214,100.14
2013-09,6.143,1053.6,3.2474,94.33
2013-10,4.787,1052.4,3.3051,91.5
2013-11,5.29,1053.0,3.3092,102.06
2013-12,6.809,1056.2,3.2692,104.06
2014-01,6.263,1054.1,3.4085,92.85
2014-02,5.548,1037.6,3.4457,93.17
2014-03,8.491,1056.8,3.4914,99.51
2014-04,9.458,1042.4,3.498,96.92
2014-05,10.412,1057.9,3.5738,105.41
2014-06,9.565,1070.1,3.6965,107.19
2014-07,7.712,1092.8,3.7451,99.34
2014-08,7.468,1081.0,3.8972,98.81
2014-09,5.692,1067.9,3.7301,90.57
2014-10,6.404,1050.4,3.8526,102.09
2014-11,6.224,1048.4,3.8438,99.33
2014-12,5.302,1054.5,3.7367,91.34
2015-01,5.711,1067.5,3.7346,105.27
2015-02,6.501,1064.1,3.8317,103.84
2015-03,11.351,1058.9,3.7293,109.93
2015-04,12.505,1037.1,3.8068,107.15
2015-05,11.384,1027.2,3.8217,108.3
2015-06,9.538,1046.8,3.9094,101.0
2015-07,8.466,1079.0,3.9719,100.54
2015-08,10.062,1122.2,4.0789,111.28
2015-09,8.089,1122.7,4.063,99.18
2015-10,8.715,1133.2,4.0074,102.58
2015-11,8.786,1150.3,4.1341,109.51
2015-12,7.337,1147.2,4.2293,101.58
2016-01,7.936,1143.4,4.326,103.92
2016-02,7.902,1125.8,4.3471,104.62
2016-03,12.368,1129.0,4.3427,101.7
2016-04,13.62,1137.4,4.2648,104.57
2016-05,13.191,1147.1,4.2443,113.06
2016-06,11.489,1147.6,4.2896,110.58
2016-07,9.195,1142.2,4.3322,100.76
2016-08,8.72,1146.9,4.3822,111.85
2016-09,7.644,1123.3,4.3561,101.23
2016-10,8.524,1144.8,4.3193,109.46
2016-11,8.595,1144.6,4.2181,103.72
2016-12,8.494,1151.1,4.1188,110.86
2017-01,10.053,1139.7,4.2205,120.55
2017-02,9.314,1133.0,4.0875,108.33
2017-03,12.719,1093.8,4.1253,113.41
2017-04,16.359,1089.2,4.2026,114.48
2017-05,11.975,1099.9,4.366,103.59
2017-06,11.108,1080.4,4.3929,106.42
2017-07,10.304,1050.4,4.474,115.58
2017-08,9.348,1054.5,4.5188,109.69
2017-09,9.204,1067.8,4.5369,112.34
2017-10,8.578,1074.2,4.5258,105.56
2017-11,8.814,1087.6,4.5579,106.45
2017-12,8.711,1092.7,4.5628,113.16
2018-01,8.217,1102.1,4.6531,104.67
2018-02,10.508,1113.8,4.6653,117.44
2018-03,12.693,1129.9,4.7456,106.53
2018-04,15.486,1119.3,4.8735,117.5
2018-05,15.869,1119.7,4.9884,115.98
2018-06,12.07,1119.9,4.9052,106.54
2018-07,12.26,1116.2,4.9277,120.97
2018-08,11.73,1108.9,4.9694,115.12
2018-09,11.854,1128.9,4.8519,116.17
2018-10,12.396,1144.9,4.8375,119.66
2018-11,11.298,1137.3,4.6265,122.34
2018-12,11.701,1129.4,4.6187,119.37
2019-01,11.334,1136.8,4.5383,114.96
2019-02,12.614,1146.0,4.5874,114.74
2019-03,14.789,1145.8,4.6087,110.61
2019-04,18.2,1133.6,4.5022,120.68
2019-05,17.477,1136.3,4.5121,121.97
2019-06,15.635,1150.1,4.4752,120.62
2019-07,13.024,1164.1,4.4872,111.56
2019-08,13.231,1178.4,4.3925,116.84
2019-09,10.781,1179.4,4.2793,113.25
2019-10,11.338,1211.2,4.196,126.39
2019-11,9.98,1209.2,4.1646,118.79
2019-12,10.295,1220.8,4.2682,119.3
2020-01,8.778,1221.1,4.1533,100.73
2020-02,11.991,1225.7,4.1214,117.77
2020-03,15.048,1230.4,4.2109,123.9
2020-04,19.436,1251.5,4.2823,120.81
2020-05,18.156,1244.9,4.2312,126.59
2020-06,13.245,1250.7,4.3205,118.66
2020-07,11.884,1229.8,4.3821,115.91
2020-08,11.609,1227.7,4.3189,120.68
2020-09,10.673,1230.4,4.278,119.67
2020-10,10.266,1227.5,4.3373,127.34
2020-11,12.695,1227.2,4.386,127.98
2020-12,11.544,1243.3,4.4657,120.38
2021-01,11.746,1244.3,4.4676,121.54
2021-02,12.268,1255.8,4.4565,119.59
2021-03,16.577,1287.7,4.4759,123.28
2021-04,18.035,1290.4,4.5017,107.31
2021-05,20.669,1322.9,4.5314,123.64
2021-06,18.19,1304.3,4.3704,121.54
2021-07,16.461,1281.9,4.2881,124.49
2021-08,16.92,1274.8,4.3293,124.71
2021-09,13.933,1262.8,4.3244,122.9
2021-10,11.913,1240.4,4.2477,123.78
2021-11,10.355,1225.6,4.3037,120.0
2021-12,9.94,1205.4,4.2814,120.47
