obs,tmi,taf,pnbpc,fertilidade
1,128,37,1870,6.659999847412109
2,204,22,130,6.150000095367432
3,202,16,310,7.0
4,197,65,570,6.25
5,96,76,2050,3.809999942779541
6,209,26,200,6.440000057220459
7,170,45,670,6.190000057220459
8,240,29,300,5.889999866485596
9,241,11,120,5.889999866485596
10,55,55,290,2.359999895095825
11,75,87,1180,3.930000066757202
12,129,55,900,5.989999771118164
13,24,93,1730,3.5
14,165,31,1150,7.409999847412109
15,94,77,1160,4.210000038146973
16,96,80,1270,5.0
17,148,30,580,5.269999980926514
18,98,69,660,5.210000038146973
19,161,43,420,6.5
20,118,47,1080,6.119999885559082
21,269,17,290,6.190000057220459
22,189,35,270,5.050000190734863
23,126,58,560,6.159999847412109
24,12,81,4240,1.7999999523162842
25,167,29,240,4.75
26,135,65,430,4.099999904632568
27,107,87,3020,6.659999847412109
28,72,63,1420,7.28000020980835
29,128,49,420,8.119999885559082
30,27,63,19830,5.230000019073486
31,152,84,420,5.789999961853027
32,224,23,530,6.5
33,142,50,8640,7.170000076293945
34,104,62,350,6.599999904632568
35,287,31,230,7.0
36,41,66,1620,3.910000085830689
37,312,11,190,6.699999809265137
38,77,88,2090,4.199999809265137
39,142,22,900,5.429999828338623
40,262,22,230,6.5
41,215,12,140,6.25
42,246,9,330,7.099999904632568
43,191,31,1010,7.099999904632568
44,182,19,300,7.0
45,37,88,1730,3.4600000381469727
46,103,35,780,5.659999847412109
47,67,85,1300,4.820000171661377
48,143,78,930,5.0
49,83,85,690,4.739999771118164
50,223,33,200,8.489999771118164
51,240,19,450,6.5
52,312,21,280,6.5
53,12,79,4430,1.690000057220459
54,52,83,270,3.25
55,79,43,1340,7.170000076293945
56,61,88,670,3.5199999809265137
57,168,28,410,6.090000152587891
58,28,95,4370,2.859999895095825
59,121,41,1310,4.880000114440918
60,115,62,1470,3.890000104904175
61,186,45,300,6.900000095367432
62,47,85,3630,4.099999904632568
63,178,45,220,6.090000152587891
64,142,67,560,7.199999809265137
