obs,produto,trabalho,capital
1,38372840,424471,2689076
2,1805427,19895,57997
3,23736129,206893,2308272
4,26981983,304055,1376235
5,217546032,1809756,13554116
6,19462751,180366,1790751
7,28972772,224267,1210229
8,14313157,54455,421064
9,159921,2029,7188
10,47289846,471211,2761281
11,63015125,659379,3540475
12,1809052,17528,146371
13,10511786,75414,848220
14,105324866,963156,5870409
15,90120459,835083,5832503
16,39079550,336159,1795976
17,22826760,246144,1595118
18,38686340,384484,2503693
19,69910555,216149,4726625
20,7856947,82021,415131
21,21352966,174855,1729116
22,46044292,355701,2706065
23,92335528,943298,5294356
24,48304274,456553,2833525
25,17207903,267806,1212281
26,47340157,439427,2404122
27,2644567,24167,334008
28,14650080,163637,627806
29,7290360,59737,522335
30,9188322,96106,507488
31,51298516,407076,3295056
32,20401410,43079,404749
33,87756129,727177,4260353
34,101268432,820013,4086558
35,3556025,34723,184700
36,124986166,1174540,6301421
37,20451196,201284,1327353
38,34808109,257820,1456683
39,104858322,944998,5896392
40,6541356,68987,297618
41,37668126,400317,2500071
42,4988905,56524,311251
43,62828100,582241,4126465
44,172960157,1120382,11588283
45,15702637,150030,762671
46,5418786,48134,276293
47,49166991,425346,2731669
48,46164427,313279,1945860
49,9185967,89639,685587
50,66964978,694628,3902823
51,2979475,15221,361536
