obs,alimentacao,gasto_total
1,6475,40516.75
2,3146,33540.5
3,1632,5181.85009765625
4,2405,40385.0
5,2227,40302.25
6,2470,23188.75
7,3510,13503.4501953125
8,1662,5109.7998046875
9,2405,15753.5
10,2483,40762.75
11,1770,23060.5
12,4160,30839.25
13,3390,25206.150390625
14,1430,15891.25
15,2496,38821.25
16,2145,11765.75
17,572,4933.7001953125
18,3653,13753.900390625
19,1194,14141.5
20,3692,27812.5
21,1638,21005.0
22,1677,11510.7001953125
23,4469,41749.5
24,5265,32854.5
25,4012,62043.0
26,1404,19415.400390625
27,4550,51814.5
28,4452,26960.5
29,1339,19185.0
30,1807,19704.0
31,3302,21830.75
32,2744,40768.30078125
33,4330,49078.75
34,3018,12765.650390625
35,3250,13029.5
36,1476,8841.2001953125
37,982,17942.5
38,1365,6214.2001953125
39,1508,21113.69921875
40,1862,7897.60009765625
41,4885,30707.25
42,6114,69698.25
43,5799,70154.75
44,4160,15032.25
45,5355,55858.25
46,3816,31746.75
47,3039,11562.099609375
48,2102,12389.9501953125
49,1711,7016.25
50,2598,96396.25
51,2606,24614.44921875
52,2765,22735.25
53,3333,20483.0
54,5340,36906.5
55,2600,31821.69921875
56,1140,13618.5
57,1820,34401.0
58,1474,10281.2001953125
59,2734,32165.0
60,6240,52226.25
61,273,13941.2001953125
62,4435,40849.5
63,8073,15270.400390625
64,2314,21142.5
65,4043,26028.5
66,3900,10209.0
67,1235,10950.2001953125
68,2405,19744.650390625
69,5200,54153.25
70,4160,33667.5
71,1378,7561.7001953125
72,3975,34231.0
73,3640,34219.25
74,3510,25783.80078125
75,5406,52951.5
76,852,32958.75
77,6890,17459.400390625
78,3345,25611.25
79,3237,14998.4501953125
80,2600,36228.75
81,3625,26485.0
82,2810,20562.900390625
83,2925,41865.0
84,2882,29821.400390625
85,2396,26792.25
86,2960,42405.5
87,2821,20082.900390625
88,2043,10204.9501953125
89,2917,31353.0
90,5469,33674.0
91,2678,13522.650390625
92,4025,51834.5
93,2836,18136.25
94,3770,54736.0
95,2600,33499.0
96,6795,95388.5
97,2726,44967.25
98,3581,67706.75
99,5295,40878.5
100,3276,17728.5
101,1934,15643.25
102,4168,15648.0
103,2535,19150.19921875
104,1898,9788.75
105,2340,27977.5
106,6201,40468.75
107,3990,30696.0
108,3481,48194.5
109,1820,12817.2001953125
110,3666,10527.0
111,2924,42945.75
112,4254,72280.5
113,6125,13772.5
114,3554,17188.650390625
115,4368,14340.25
116,5811,47962.0
117,6266,29062.75
118,777,34476.75
119,7193,84354.0
120,7215,37942.5
121,1477,13583.5
122,3025,12183.7998046875
123,6500,49563.3984375
124,962,36262.69921875
125,3716,18312.5
126,2004,25399.05078125
127,1399,50235.25
128,1560,14230.25
129,1560,25616.69921875
130,1871,18226.25
131,4462,31541.75
132,3130,24262.25
133,1366,17617.19921875
134,2239,22067.5
135,3075,43533.5
136,1074,14573.5
137,2041,6470.89990234375
138,4940,57499.5
139,2600,8535.2001953125
140,8905,85065.25
141,4145,22748.5
142,1183,10481.25
143,1074,42093.5
144,1957,24435.75
145,4810,27975.0
146,1422,28347.25
147,5135,32929.25
148,2860,20105.55078125
149,3445,30991.75
150,4875,22201.900390625
151,2132,17005.0
152,4495,29899.75
153,2535,16870.75
154,2600,10790.2001953125
155,5785,38355.0
156,1885,10315.0
157,1118,7781.7001953125
158,2197,16083.75
159,2457,11787.900390625
160,3637,20005.400390625
161,7663,70858.75
162,2405,21705.75
163,2174,11928.5
164,7230,69815.8984375
165,2457,6351.0
166,2290,27216.69921875
167,3770,30178.25
168,1950,10597.25
169,2353,13715.400390625
170,1768,13687.2001953125
171,3081,17116.25
172,3160,27426.0
