horas,filhos6,filhos6_18,idade,esc,salario,horas_marido,idade_marido,esc_marido,sal_marido,renda_fam,tmi,esc_mae,esc_pai,desemprego,exper
1610,1,0,32,12,3.3540000915527344,2708,34,12,4.028800010681152,16310,0.7214999794960022,12,7,5.0,14
1656,0,2,30,12,1.3889000415802002,2310,30,9,8.44159984588623,21800,0.6614999771118164,7,7,11.0,5
1980,1,3,35,12,4.545499801635742,3072,40,12,3.580699920654297,21040,0.6915000081062317,12,7,5.0,15
456,0,3,34,12,1.096500039100647,1920,53,10,3.541699886322021,7300,0.781499981880188,7,7,5.0,6
1568,1,2,31,14,4.591800212860107,2000,32,12,10.0,27300,0.6215000152587891,12,14,9.5,7
2032,0,0,54,12,4.742099761962891,1040,57,11,6.710599899291992,19495,0.6915000081062317,14,7,7.5,33
1440,0,2,37,16,8.33329963684082,2670,37,12,3.4277000427246094,21152,0.6915000081062317,14,7,5.0,11
1020,0,0,54,12,7.843100070953369,4120,53,8,2.548500061035156,18900,0.6915000081062317,3,3,5.0,35
1458,0,2,48,12,2.126199960708618,1995,52,4,4.220600128173828,20405,0.7515000104904175,7,7,3.0,24
1600,0,2,39,12,4.6875,2100,43,12,5.714300155639648,20425,0.6915000081062317,7,7,5.0,21
1969,0,1,33,12,4.063000202178955,2450,34,12,9.795900344848633,32300,0.5814999938011169,12,3,5.0,15
1960,0,1,42,11,4.591800212860107,2375,47,14,8.0,28700,0.6215000152587891,14,7,5.0,14
240,1,2,30,12,2.0833001136779785,2830,33,16,5.3003997802734375,15500,0.7214999794960022,16,16,5.0,0
997,0,2,43,12,2.2667999267578125,3317,46,12,4.341300010681152,16860,0.7214999794960022,10,10,7.5,14
1848,0,1,43,10,3.679699897766113,2024,45,17,10.869999885559082,31431,0.5814999938011169,7,7,7.5,6
1224,0,3,35,11,1.3472000360488892,1694,38,12,9.149900436401367,19180,0.7214999794960022,16,10,7.5,9
1400,0,2,43,12,3.2142999172210693,2156,45,12,6.122399806976318,18600,0.6915000081062317,10,7,7.5,20
640,0,5,39,12,5.175000190734863,2250,40,12,6.149799823760986,19151,0.7214999794960022,12,12,7.5,6
2000,0,0,45,12,2.0,2024,51,11,6.916999816894531,18100,0.6915000081062317,7,7,5.0,23
