mes,icms_mi,massa_salarial,preco_combustivel,indice_varejo
2010-01,418.86,100.0,4.095,96.85
2010-02,420.12,101.51,4.079,95.84
2010-03,441.35,99.89,4.126,101.29
2010-04,461.75,97.96,4.105,101.04
2010-05,459.39,100.26,4.133,104.96
2010-06,467.81,99.92,4.174,104.2
2010-07,437.15,98.7,4.23,101.21
2010-08,425.19,95.84,4.188,102.56
2010-09,427.84,97.69,4.111,99.69
2010-10,413.87,100.74,4.216,101.55
2010-11,418.94,99.81,4.215,98.41
2010-12,424.95,101.01,4.136,102.55
2011-01,389.41,103.23,3.998,93.85
2011-02,390.05,103.55,4.067,92.13
2011-03,410.81,100.04,4.122,100.37
2011-04,446.62,100.23,4.195,106.58
2011-05,457.89,101.71,4.188,105.46
2011-06,468.1,105.91,4.203,101.41
2011-07,451.72,107.2,4.203,100.77
2011-08,451.41,105.36,4.188,102.95
2011-09,453.1,105.11,4.276,106.35
2011-10,425.84,106.46,4.291,103.34
2011-11,441.79,103.85,4.245,105.86
2011-12,459.05,105.15,4.323,108.9
2012-01,454.12,108.76,4.261,104.72
2012-02,451.89,106.59,4.32,98.86
2012-03,490.96,105.95,4.291,105.19
2012-04,490.83,104.86,4.234,106.94
2012-05,486.17,108.97,4.227,107.14
2012-06,473.05,107.52,4.233,106.08
2012-07,467.91,106.86,4.199,98.71
2012-08,471.88,102.14,4.36,106.74
2012-09,482.63,105.59,4.499,110.04
2012-10,455.93,108.59,4.494,110.87
2012-11,448.72,107.2,4.528,105.18
2012-12,461.9,109.94,4.564,108.47
2013-01,448.8,109.15,4.584,101.55
2013-02,470.22,110.66,4.628,101.15
2013-03,460.32,106.47,4.589,108.61
2013-04,483.33,108.01,4.611,107.39
2013-05,484.21,106.51,4.715,110.52
2013-06,458.15,107.06,4.706,111.5
2013-07,446.19,111.23,4.628,109.84
2013-08,437.83,111.18,4.588,109.47
2013-09,452.01,109.98,4.579,109.64
2013-10,461.82,110.32,4.527,111.93
2013-11,457.16,110.27,4.497,111.96
2013-12,489.44,112.64,4.545,115.73
2014-01,476.3,115.07,4.489,108.1
2014-02,463.34,112.99,4.479,102.73
2014-03,470.66,111.29,4.512,108.05
2014-04,456.04,115.12,4.537,108.69
2014-05,467.13,114.76,4.547,111.99
2014-06,462.73,114.46,4.579,112.69
2014-07,447.85,112.64,4.629,110.08
2014-08,470.85,112.43,4.656,110.89
2014-09,477.12,111.86,4.597,115.21
2014-10,475.32,111.6,4.567,113.48
2014-11,475.58,110.75,4.559,113.91
2014-12,493.93,111.05,4.636,119.78
2015-01,480.07,114.96,4.632,110.48
2015-02,455.5,116.04,4.716,111.82
2015-03,481.89,115.23,4.769,112.52
2015-04,493.94,112.98,4.747,114.04
2015-05,477.34,111.77,4.718,110.22
2015-06,469.82,112.45,4.817,112.11
2015-07,469.84,108.98,4.788,106.77
2015-08,483.37,113.61,4.796,110.96
2015-09,480.25,113.99,4.769,114.35
2015-10,466.31,113.56,4.67,114.14
2015-11,487.66,117.97,4.588,118.58
2015-12,491.98,115.37,4.549,118.41
2016-01,469.93,116.87,4.514,110.88
2016-02,470.15,119.3,4.509,112.93
2016-03,495.58,117.33,4.561,119.45
2016-04,490.52,118.93,4.668,119.72
2016-05,491.28,115.27,4.689,118.88
2016-06,484.45,122.17,4.722,112.88
2016-07,483.82,119.36,4.738,120.26
2016-08,502.04,118.28,4.748,118.2
2016-09,489.09,116.9,4.799,119.12
2016-10,505.55,120.65,4.758,118.5
2016-11,515.09,119.66,4.787,120.11
2016-12,530.48,119.05,4.872,124.68
2017-01,485.1,122.82,4.82,114.13
2017-02,482.87,123.52,4.829,115.36
2017-03,493.87,121.44,4.874,116.93
2017-04,507.71,117.89,4.9,116.39
2017-05,510.73,116.93,4.838,115.76
2017-06,516.08,122.77,4.854,117.13
2017-07,511.63,121.24,4.975,116.32
2017-08,514.7,119.74,4.923,119.74
2017-09,507.27,121.38,4.945,119.93
2017-10,500.83,118.62,4.994,116.58
2017-11,514.96,124.13,5.098,119.99
2017-12,517.29,121.37,5.065,120.82
2018-01,475.93,123.09,5.061,116.87
2018-02,483.11,122.85,5.104,116.78
2018-03,498.81,122.54,5.18,119.14
2018-04,497.18,124.86,5.211,121.67
2018-05,503.54,122.75,5.268,123.18
2018-06,507.58,123.14,5.312,118.61
2018-07,501.68,125.14,5.271,119.14
2018-08,530.85,126.3,5.213,120.37
2018-09,514.61,126.07,5.244,119.15
2018-10,506.45,123.92,5.316,120.59
2018-11,527.78,126.37,5.301,120.04
2018-12,544.27,127.03,5.272,128.01
2019-01,513.87,128.87,5.346,119.4
2019-02,513.35,129.87,5.32,116.9
2019-03,517.53,126.48,5.386,122.2
2019-04,525.48,130.16,5.376,120.88
2019-05,537.84,130.35,5.362,120.34
2019-06,520.98,129.55,5.299,121.18
2019-07,499.96,129.22,5.253,119.56
2019-08,508.46,127.6,5.408,126.71
2019-09,532.92,128.52,5.417,125.68
2019-10,539.33,128.18,5.482,121.8
2019-11,537.81,128.12,5.49,125.89
2019-12,545.8,129.96,5.573,131.26
2020-01,503.57,131.33,5.662,122.04
2020-02,518.14,130.2,5.629,118.44
2020-03,534.13,134.94,5.651,122.99
2020-04,529.21,130.54,5.605,119.65
2020-05,508.9,127.09,5.669,121.16
2020-06,512.28,130.15,5.786,120.84
2020-07,520.75,130.15,5.919,117.18
2020-08,541.25,132.87,5.948,125.66
2020-09,559.59,132.1,5.871,126.66
2020-10,554.21,131.22,5.893,125.97
2020-11,559.19,134.78,5.982,127.92
2020-12,570.32,133.42,6.033,129.33
2021-01,518.05,130.43,5.951,116.64
2021-02,510.34,132.75,5.957,117.92
2021-03,533.42,130.24,5.927,122.72
2021-04,547.63,136.58,6.011,126.68
2021-05,557.62,133.31,6.113,131.8
2021-06,536.59,131.68,6.085,133.36
2021-07,540.63,132.93,6.093,129.99
2021-08,549.9,133.09,6.089,134.71
2021-09,553.39,133.59,6.12,133.35
2021-10,530.71,134.62,6.147,128.49
2021-11,535.45,133.66,6.182,127.86
2021-12,557.5,132.04,6.141,134.19
2022-01,535.34,136.53,6.079,129.04
2022-02,545.85,136.76,6.159,123.59
2022-03,537.51,133.22,6.251,124.02
2022-04,544.43,133.82,6.254,125.76
2022-05,545.65,132.08,6.243,127.81
2022-06,558.54,133.55,6.272,128.59
2022-07,560.34,130.9,6.325,129.01
2022-08,568.36,133.34,6.285,128.1
2022-09,571.69,133.94,6.226,128.51
2022-10,579.34,133.32,6.194,129.76
2022-11,587.18,137.83,6.367,132.3
2022-12,604.97,139.3,6.355,135.36
2023-01,566.27,138.07,6.303,129.64
2023-02,548.39,137.23,6.305,126.23
2023-03,555.78,137.05,6.34,131.08
2023-04,565.57,139.15,6.358,135.12
2023-05,565.9,138.02,6.395,132.83
2023-06,570.31,138.76,6.445,130.35
2023-07,555.26,140.06,6.458,127.19
2023-08,550.45,142.37,6.37,126.44
2023-09,554.64,140.67,6.484,131.39
2023-10,535.67,143.45,6.532,131.93
2023-11,535.89,141.3,6.506,129.04
2023-12,563.92,140.17,6.577,135.2
2024-01,539.19,140.39,6.583,129.96
2024-02,536.43,139.65,6.614,127.54
2024-03,567.34,142.15,6.671,133.04
2024-04,553.94,142.22,6.626,136.41
2024-05,568.61,144.2,6.627,134.21
2024-06,566.95,145.08,6.53,132.68
2024-07,571.32,142.25,6.614,132.06
2024-08,586.95,140.11,6.711,135.39
2024-09,585.1,142.04,6.727,137.26
2024-10,579.01,140.54,6.656,138.96
2024-11,585.39,138.18,6.661,139.34
2024-12,585.64,142.27,6.653,139.3
2025-01,545.32,142.2,6.682,130.08
2025-02,574.09,143.25,6.644,125.72
2025-03,597.92,143.71,6.729,134.85
2025-04,604.72,144.1,6.634,142.88
2025-05,598.98,144.58,6.601,139.81
2025-06,577.93,145.44,6.609,133.54
2025-07,581.94,145.97,6.583,129.19
2025-08,582.85,151.28,6.547,130.49
2025-09,581.01,147.7,6.492,139.3
2025-10,580.28,147.21,6.447,139.0
2025-11,590.06,144.34,6.558,141.72
2025-12,605.04,144.61,6.626,142.61
