escola,ideb,nse,matriculas,docentes_superior,horas_aula,laboratorio
ESC-001,5.65,71.7,174,54.8,5.21,0
ESC-002,6.42,41.3,45,96.4,5.45,1
ESC-003,4.67,37.0,125,75.5,6.01,0
ESC-004,5.58,45.2,56,94.2,5.72,1
ESC-005,2.34,36.2,295,83.3,4.42,1
ESC-006,5.55,68.1,376,57.7,5.0,0
ESC-007,5.06,60.6,144,62.2,4.14,1
ESC-008,5.88,57.7,212,90.9,5.46,1
ESC-009,4.86,66.9,404,47.7,4.48,1
ESC-010,4.99,42.8,656,100.0,4.28,1
ESC-011,4.83,34.2,127,86.2,5.68,0
ESC-012,3.9,54.2,526,71.7,4.33,1
ESC-013,5.03,53.7,157,66.4,5.83,0
ESC-014,5.51,39.7,503,90.0,4.6,1
ESC-015,6.07,56.4,45,46.0,5.76,0
ESC-016,6.46,67.7,167,83.2,5.1,0
ESC-017,4.24,43.6,326,43.5,4.0,1
ESC-018,6.56,52.3,82,83.4,4.09,0
ESC-019,5.6,54.1,45,81.0,5.4,0
ESC-020,6.27,55.8,85,68.9,4.83,1
ESC-021,5.51,62.3,188,62.4,5.89,0
ESC-022,4.87,57.1,343,64.5,6.83,0
ESC-023,4.89,66.8,398,78.1,5.02,0
ESC-024,2.93,40.3,233,76.0,4.0,1
ESC-025,5.69,44.3,65,65.0,5.32,1
ESC-026,6.05,59.8,93,74.9,5.89,0
ESC-027,3.31,44.7,365,76.0,5.47,0
ESC-028,4.12,43.3,520,91.1,5.47,1
ESC-029,4.55,49.5,261,61.5,5.24,0
ESC-030,4.33,54.2,1237,74.2,4.33,1
ESC-031,4.13,44.0,141,50.4,5.2,0
ESC-032,4.96,57.1,236,83.8,4.72,0
ESC-033,5.56,66.7,284,54.0,5.07,1
ESC-034,3.75,28.6,199,69.0,4.76,0
ESC-035,3.03,22.6,77,79.4,5.39,0
ESC-036,6.03,59.0,75,71.0,4.0,0
ESC-037,4.06,40.4,249,59.2,5.75,1
ESC-038,5.73,67.5,347,58.4,6.81,1
ESC-039,5.73,84.4,1125,83.6,4.0,1
ESC-040,5.01,48.3,255,83.8,4.0,0
ESC-041,5.02,45.4,45,59.7,5.88,0
ESC-042,5.87,49.9,73,100.0,4.31,1
ESC-043,6.37,53.4,59,63.0,4.93,1
ESC-044,3.48,49.5,108,70.2,4.94,0
ESC-045,3.49,39.2,365,78.8,5.05,0
ESC-046,3.94,55.0,314,77.2,4.0,1
ESC-047,3.28,25.8,313,74.5,4.0,1
ESC-048,5.62,54.7,72,58.5,4.94,1
ESC-049,5.59,51.2,177,79.3,6.76,0
ESC-050,5.89,65.7,235,57.2,5.95,0
ESC-051,3.75,52.0,1437,59.8,6.14,1
ESC-052,4.92,55.8,757,53.5,4.0,1
ESC-053,3.59,38.6,208,63.0,4.87,1
ESC-054,4.53,52.1,515,70.0,4.74,0
ESC-055,5.61,59.3,272,71.6,6.58,0
ESC-056,6.12,62.3,190,64.4,5.28,1
ESC-057,3.78,51.4,182,80.7,5.26,0
ESC-058,7.1,69.0,54,78.6,5.05,0
ESC-059,5.32,65.3,926,75.4,5.35,1
ESC-060,3.55,42.2,273,70.4,4.0,0
ESC-061,2.93,20.4,89,38.3,5.17,0
ESC-062,3.78,36.8,166,81.7,4.44,1
ESC-063,4.49,50.8,148,58.7,5.28,1
ESC-064,5.76,51.9,210,65.4,6.14,1
ESC-065,4.07,46.5,160,71.6,4.74,0
ESC-066,2.8,45.0,976,75.5,4.0,0
ESC-067,6.44,57.8,57,67.8,5.58,1
ESC-068,3.99,42.9,595,75.2,4.0,1
ESC-069,4.87,24.5,218,67.4,4.0,0
ESC-070,3.75,46.3,555,52.5,6.27,0
ESC-071,6.22,62.2,156,62.1,6.72,1
ESC-072,4.45,39.8,106,56.2,4.07,0
ESC-073,5.63,57.7,288,45.6,4.86,1
ESC-074,4.64,56.9,1494,70.0,7.18,1
ESC-075,6.24,49.8,86,78.2,4.0,1
ESC-076,4.39,54.9,458,69.5,4.21,0
ESC-077,3.0,39.0,833,53.8,5.29,0
ESC-078,3.48,50.7,376,64.7,4.0,1
ESC-079,5.9,68.0,224,77.3,4.2,0
ESC-080,3.08,49.1,1413,49.3,5.99,0
ESC-081,3.93,36.8,260,58.0,5.71,0
ESC-082,5.68,67.6,498,64.4,4.64,1
ESC-083,3.2,33.7,306,51.0,4.86,0
ESC-084,5.17,69.8,399,63.9,5.85,0
ESC-085,4.39,51.1,163,44.5,5.47,1
ESC-086,6.24,57.4,132,56.1,6.16,1
ESC-087,4.77,54.2,722,81.9,6.75,0
ESC-088,6.0,50.2,262,100.0,5.03,1
ESC-089,5.0,62.9,410,65.9,6.75,0
ESC-090,5.29,49.1,95,84.5,5.73,1
ESC-091,4.18,40.2,562,55.7,4.63,0
ESC-092,4.07,50.5,783,67.7,5.51,1
ESC-093,2.07,29.1,290,70.4,4.36,1
ESC-094,5.79,48.3,64,65.0,5.54,0
ESC-095,3.41,28.7,484,79.9,5.48,0
ESC-096,5.88,50.3,61,81.3,5.12,0
ESC-097,5.68,58.8,407,71.0,6.51,0
ESC-098,4.68,57.8,510,58.7,4.08,1
ESC-099,4.97,48.4,83,65.0,5.67,1
ESC-100,3.07,20.0,136,69.9,4.78,1
ESC-101,4.77,44.4,75,63.1,5.5,1
ESC-102,6.35,65.4,116,72.4,5.68,1
ESC-103,6.18,42.7,72,71.1,6.49,0
ESC-104,6.22,56.7,57,74.7,5.29,0
ESC-105,4.3,42.2,55,67.4,6.13,0
ESC-106,5.28,69.2,428,79.5,5.91,0
ESC-107,2.87,25.0,285,93.0,6.13,0
ESC-108,3.75,44.0,620,62.7,5.73,0
ESC-109,4.57,45.6,182,82.7,4.19,1
ESC-110,4.48,56.3,784,60.6,6.59,1
ESC-111,5.6,50.6,82,71.3,5.54,1
ESC-112,4.51,52.1,224,44.7,6.05,1
ESC-113,1.77,22.7,191,73.3,4.8,0
ESC-114,6.59,74.0,89,52.1,4.8,1
ESC-115,5.07,52.5,111,48.5,5.35,0
ESC-116,6.19,42.5,78,68.4,4.72,1
ESC-117,6.27,66.7,244,98.4,5.37,0
ESC-118,4.48,36.7,125,61.4,5.83,0
ESC-119,4.21,54.3,331,57.3,5.65,1
ESC-120,5.35,62.1,309,78.6,6.1,0
ESC-121,5.14,59.4,199,81.0,4.0,1
ESC-122,4.82,53.1,127,44.6,4.15,0
ESC-123,4.63,49.1,177,89.0,5.0,0
ESC-124,4.95,38.1,463,58.2,5.87,0
ESC-125,4.39,54.2,281,41.6,6.11,0
ESC-126,4.95,34.8,173,71.0,5.44,1
ESC-127,5.28,62.9,187,77.4,6.96,0
ESC-128,4.16,60.6,1099,65.2,4.14,0
ESC-129,6.05,50.5,173,70.8,5.71,1
ESC-130,4.2,27.3,195,95.9,4.73,0
ESC-131,4.48,58.1,423,63.7,4.0,1
ESC-132,5.67,58.0,165,75.2,4.73,0
ESC-133,5.08,37.3,73,83.7,4.34,0
ESC-134,5.33,45.4,123,64.7,4.0,0
ESC-135,5.52,52.1,172,62.2,4.57,0
ESC-136,4.92,58.8,229,61.5,5.03,0
ESC-137,5.78,45.9,197,62.9,4.73,0
ESC-138,5.84,40.4,106,60.4,6.37,0
ESC-139,4.69,44.1,258,70.9,4.0,0
ESC-140,3.28,38.6,431,49.5,6.15,1
ESC-141,6.92,71.5,82,86.2,5.07,0
ESC-142,4.61,72.3,1485,80.4,4.0,0
ESC-143,4.22,25.8,98,55.8,4.63,0
ESC-144,3.62,45.5,935,72.1,5.18,0
ESC-145,4.38,68.9,802,66.6,5.59,1
ESC-146,5.16,67.0,706,82.6,4.0,0
ESC-147,5.26,73.7,560,70.3,5.13,1
ESC-148,5.89,65.2,94,66.7,5.29,0
ESC-149,5.42,55.7,142,84.9,6.16,0
ESC-150,4.78,53.9,422,61.8,5.24,0
ESC-151,5.9,66.9,113,70.3,4.28,1
ESC-152,4.68,55.6,474,88.7,5.67,0
ESC-153,5.11,30.5,99,54.0,6.21,1
ESC-154,5.31,52.0,87,62.1,5.01,0
ESC-155,2.58,28.9,268,67.1,4.06,0
ESC-156,5.44,60.1,161,100.0,5.35,1
ESC-157,4.77,54.2,337,81.8,5.23,0
ESC-158,5.86,48.5,151,90.6,5.55,1
ESC-159,5.69,53.5,64,73.5,4.36,1
ESC-160,2.46,29.5,364,64.6,4.79,0
ESC-161,5.13,44.0,86,82.4,6.46,1
ESC-162,5.75,43.0,179,88.2,5.55,1
ESC-163,2.82,51.3,693,65.7,4.0,0
ESC-164,3.23,47.6,878,78.1,5.1,0
ESC-165,4.29,52.2,158,89.6,4.0,0
ESC-166,4.71,52.8,186,76.3,4.64,0
ESC-167,3.79,33.5,254,69.2,4.55,0
ESC-168,2.89,35.4,530,48.5,4.65,0
ESC-169,4.65,63.6,784,80.9,5.6,0
ESC-170,3.15,39.9,195,78.9,4.41,0
ESC-171,4.91,48.1,155,65.7,4.0,1
ESC-172,5.91,59.7,127,69.1,5.67,0
ESC-173,4.1,46.1,164,50.0,7.69,0
ESC-174,6.05,76.1,541,81.9,5.19,0
ESC-175,5.28,39.0,56,75.4,5.79,0
ESC-176,5.23,42.7,68,59.6,5.66,0
ESC-177,5.51,25.8,45,89.9,4.0,0
ESC-178,4.25,60.1,218,77.8,5.43,0
ESC-179,4.7,45.4,469,69.0,5.08,1
ESC-180,5.9,57.4,181,100.0,4.64,0
ESC-181,5.54,56.2,90,94.2,5.81,1
ESC-182,6.49,79.3,217,84.7,4.96,0
ESC-183,5.44,56.7,247,51.6,4.0,1
ESC-184,3.96,45.1,426,64.4,5.0,1
ESC-185,5.91,44.6,249,66.9,4.0,0
ESC-186,6.01,59.6,102,60.1,4.23,0
ESC-187,4.17,27.2,282,72.6,4.27,1
ESC-188,3.11,44.0,854,76.1,4.32,0
ESC-189,4.52,31.6,117,78.0,4.0,0
ESC-190,4.64,38.4,285,80.0,5.61,0
ESC-191,5.44,64.4,256,53.0,6.21,0
ESC-192,3.15,39.1,233,75.9,5.69,0
ESC-193,5.17,44.6,45,60.8,5.68,0
ESC-194,5.31,60.1,535,74.4,6.67,1
ESC-195,4.19,31.5,111,95.6,4.0,1
ESC-196,5.07,51.4,195,89.4,5.67,0
ESC-197,5.46,35.6,45,67.5,4.0,1
ESC-198,5.31,52.4,90,72.2,4.62,0
ESC-199,5.18,44.6,57,91.1,4.76,1
ESC-200,5.42,62.1,190,97.4,5.63,1
ESC-201,5.41,49.0,377,79.3,4.62,0
ESC-202,5.63,55.7,251,86.7,6.37,0
ESC-203,5.78,67.3,272,76.4,4.69,0
ESC-204,4.76,49.1,299,81.4,5.12,0
ESC-205,5.01,66.1,474,67.8,4.75,0
ESC-206,5.8,58.6,283,81.3,4.3,1
ESC-207,5.37,61.2,386,71.6,4.53,0
ESC-208,4.34,41.5,109,65.3,4.57,0
ESC-209,3.91,52.7,381,53.3,5.7,0
ESC-210,5.63,51.9,130,65.9,5.35,0
ESC-211,4.55,59.1,233,72.1,4.21,1
ESC-212,6.77,63.7,45,73.6,5.4,0
ESC-213,5.62,62.3,156,91.1,4.73,1
ESC-214,4.19,57.7,390,67.0,4.82,0
ESC-215,4.6,43.8,200,73.2,5.71,0
ESC-216,4.1,44.6,89,61.7,4.83,1
ESC-217,4.7,56.2,468,89.5,5.84,0
ESC-218,4.99,36.5,74,100.0,4.29,0
ESC-219,5.31,46.2,192,87.7,4.4,0
ESC-220,4.93,49.0,208,70.8,5.38,0
ESC-221,4.58,55.8,167,67.2,4.38,0
ESC-222,4.19,57.1,571,64.5,5.53,1
ESC-223,4.73,36.3,101,62.4,4.0,1
ESC-224,4.25,58.1,737,78.2,5.04,1
ESC-225,2.37,27.4,684,57.5,4.66,1
ESC-226,4.57,42.5,316,73.1,4.13,1
ESC-227,4.92,61.2,355,67.2,5.63,0
ESC-228,5.44,46.6,131,88.6,5.29,0
ESC-229,4.35,55.3,125,68.3,4.05,1
ESC-230,5.63,80.1,382,77.4,4.04,0
ESC-231,4.74,47.6,319,81.6,5.98,0
ESC-232,3.96,47.9,662,52.1,4.45,1
ESC-233,1.5,25.1,191,46.7,4.29,0
ESC-234,4.6,54.2,426,61.6,5.48,0
ESC-235,5.84,67.2,85,73.9,6.84,0
ESC-236,3.56,52.6,440,60.6,4.8,1
ESC-237,5.33,51.2,436,89.9,5.6,1
ESC-238,6.07,85.0,501,57.6,6.27,1
ESC-239,5.72,52.1,122,71.1,4.23,1
ESC-240,5.63,52.1,92,77.4,6.05,1
ESC-241,6.03,51.5,185,54.0,4.97,0
ESC-242,4.47,38.0,258,58.8,4.69,0
ESC-243,4.35,59.3,612,59.7,5.3,1
ESC-244,5.73,65.7,530,100.0,5.31,1
ESC-245,4.73,63.3,277,79.5,5.09,0
ESC-246,6.52,60.3,45,54.1,4.2,1
ESC-247,2.33,41.3,1394,72.6,4.39,0
ESC-248,3.35,44.6,924,86.5,4.0,0
ESC-249,6.0,84.0,400,43.9,4.18,1
ESC-250,4.2,35.4,490,94.1,4.21,0
ESC-251,2.68,33.6,290,57.5,4.34,1
ESC-252,5.33,49.7,291,75.3,5.4,0
ESC-253,1.85,32.1,257,57.9,4.69,1
ESC-254,5.0,35.3,160,67.2,4.73,1
