imovel,preco,area_m2,quartos,idade_anos,dist_centro_km,garagens
IM-001,164635,158.5,3,15.3,1.65,2
IM-002,141883,162.2,2,15.2,2.35,1
IM-003,199512,152.7,4,12.1,4.7,2
IM-004,170761,152.5,3,12.5,3.23,0
IM-005,126980,70.5,2,15.0,5.65,2
IM-006,189462,110.0,3,3.2,1.59,1
IM-007,105968,110.2,3,21.0,10.63,2
IM-008,142575,123.1,2,5.0,5.9,2
IM-009,168549,157.8,3,2.7,0.62,1
IM-010,167675,126.7,3,10.1,1.61,2
IM-011,80809,85.5,2,12.8,10.76,2
IM-012,291165,150.4,3,9.3,0.6,2
IM-013,269236,208.2,3,19.9,2.32,2
IM-014,168031,128.4,1,6.6,3.97,2
IM-015,116045,93.1,2,17.8,0.91,1
IM-016,275989,191.4,3,5.5,1.67,1
IM-017,204726,170.8,3,19.2,2.37,2
IM-018,176636,114.3,2,4.0,1.9,2
IM-019,117643,137.3,2,13.3,8.44,2
IM-020,157181,99.9,2,4.4,2.55,1
IM-021,342793,206.3,3,2.0,1.18,1
IM-022,180795,133.6,3,2.9,1.78,0
IM-023,110495,86.5,1,15.8,1.87,1
IM-024,155024,132.2,3,24.4,2.98,2
IM-025,150736,157.9,2,23.5,1.11,2
IM-026,254522,207.1,4,7.3,0.91,0
IM-027,157099,104.2,2,8.1,4.34,2
IM-028,357798,161.9,4,8.4,2.0,3
IM-029,263019,187.8,3,6.0,1.26,1
IM-030,293298,158.5,2,1.4,2.79,3
IM-031,137765,105.5,1,10.6,1.57,1
IM-032,432161,223.4,4,5.5,2.06,2
IM-033,281722,181.3,4,3.2,1.35,2
IM-034,230704,254.4,5,5.1,11.18,2
IM-035,166382,97.5,2,15.7,2.06,2
IM-036,107859,117.9,3,43.6,2.9,1
IM-037,119536,77.6,1,15.2,2.3,2
IM-038,255236,144.0,2,14.7,0.69,2
IM-039,238251,152.7,2,12.4,3.36,2
IM-040,302030,109.1,2,3.4,0.79,3
IM-041,158433,134.4,2,15.9,4.52,2
IM-042,147389,207.9,2,11.6,9.7,3
IM-043,133510,126.8,2,10.2,0.89,3
IM-044,121402,131.7,3,7.2,3.91,1
IM-045,324506,205.9,4,8.9,2.77,1
IM-046,184353,137.3,3,20.3,1.09,2
IM-047,251172,189.8,3,6.8,2.31,1
IM-048,450325,238.2,3,4.3,1.45,2
IM-049,110139,98.3,2,3.0,5.49,1
IM-050,196011,62.3,3,1.4,0.3,2
IM-051,186721,145.3,4,7.5,6.56,3
IM-052,218264,86.0,2,1.6,3.87,1
IM-053,168637,142.9,3,10.3,5.29,2
IM-054,166709,126.7,2,17.0,1.22,2
IM-055,149496,117.4,2,15.4,3.43,2
IM-056,360546,210.4,3,3.5,0.6,0
IM-057,264818,251.8,3,20.4,2.19,1
IM-058,170398,143.5,2,24.1,3.92,2
IM-059,243581,161.4,3,15.2,0.31,3
IM-060,151860,136.0,2,4.4,4.84,3
IM-061,302236,199.6,4,8.7,1.49,2
IM-062,142154,81.7,3,7.1,0.74,1
IM-063,222250,136.4,3,8.9,3.12,1
IM-064,207890,249.2,4,7.1,4.76,2
IM-065,154918,166.8,3,17.7,2.03,0
IM-066,435183,280.6,5,6.4,1.04,1
IM-067,131896,67.6,3,22.1,0.98,2
IM-068,172204,79.6,2,5.7,1.61,3
IM-069,152535,80.3,3,11.7,0.74,2
IM-070,178498,101.4,3,10.0,6.09,1
IM-071,218558,146.0,3,13.5,0.45,2
IM-072,91496,131.6,2,11.6,8.44,2
IM-073,185131,163.6,2,17.3,5.6,2
IM-074,135565,118.7,2,3.6,6.82,1
IM-075,123628,77.0,2,2.6,3.89,1
IM-076,373586,304.4,4,12.1,9.29,1
IM-077,146392,120.1,3,12.1,10.83,2
IM-078,89802,97.2,2,23.4,2.49,1
IM-079,452773,327.1,4,4.8,0.3,1
IM-080,153111,132.2,2,22.3,0.3,2
IM-081,163972,130.3,2,10.4,3.99,1
IM-082,181248,214.7,3,7.8,4.95,0
IM-083,203182,149.1,3,5.9,2.76,1
IM-084,87446,97.4,2,6.8,4.59,0
IM-085,104266,55.0,2,9.8,1.31,1
IM-086,80000,59.1,2,25.4,5.86,2
IM-087,125660,104.7,1,8.8,2.34,1
IM-088,91997,125.5,2,7.3,6.36,1
IM-089,263790,187.8,4,11.0,3.76,2
IM-090,132245,113.6,1,1.5,5.38,1
IM-091,155070,88.7,2,4.9,4.44,3
IM-092,80000,80.8,2,3.1,8.22,1
IM-093,108979,70.3,1,11.6,3.37,0
IM-094,193419,113.1,2,3.1,1.16,1
IM-095,143611,132.6,2,9.7,2.18,2
IM-096,203851,221.2,3,6.4,5.77,2
IM-097,126039,64.1,2,7.8,1.67,1
IM-098,204239,141.7,3,8.0,4.08,3
IM-099,122713,106.0,3,20.2,4.19,1
IM-100,187477,178.5,2,9.8,4.98,1
IM-101,305220,203.9,4,5.4,3.34,3
IM-102,171703,148.8,3,1.4,5.41,1
IM-103,158523,81.3,2,7.1,1.72,1
IM-104,228703,170.0,4,19.2,3.1,3
IM-105,183846,189.5,3,14.4,3.19,2
IM-106,174052,119.1,3,9.0,3.36,2
IM-107,229261,182.5,4,8.1,4.74,1
IM-108,166634,176.8,3,18.6,5.58,2
IM-109,99140,83.4,1,5.7,6.65,1
IM-110,168263,113.5,3,14.8,1.68,1
IM-111,112913,90.4,2,5.7,3.1,0
IM-112,125828,126.8,2,9.6,8.3,2
IM-113,196375,236.5,5,18.5,3.55,1
IM-114,503685,226.8,3,4.0,0.98,3
IM-115,241925,90.3,2,2.2,0.51,1
IM-116,108336,57.2,3,14.6,3.15,1
IM-117,102298,63.2,1,2.6,6.06,0
IM-118,133885,151.3,2,10.2,4.4,2
IM-119,376580,396.2,5,12.2,9.76,1
IM-120,169413,203.6,3,16.1,9.54,2
IM-121,194947,84.4,2,6.6,1.06,3
IM-122,243615,191.8,4,3.4,6.26,3
IM-123,633413,367.3,6,13.5,0.58,1
IM-124,165711,174.4,3,31.9,2.09,1
IM-125,133911,78.1,2,6.3,4.53,2
IM-126,196362,120.2,3,8.7,3.78,2
IM-127,137392,80.1,2,1.0,2.44,2
IM-128,541739,318.2,4,9.5,2.32,2
IM-129,261243,202.4,3,13.5,4.27,2
IM-130,183600,99.2,3,8.3,0.58,2
IM-131,177027,161.0,3,20.9,3.75,2
IM-132,258074,134.9,3,1.1,0.94,2
IM-133,241122,176.2,3,9.4,0.3,2
IM-134,223395,118.4,3,7.3,2.57,2
IM-135,208029,92.5,3,13.4,1.78,1
IM-136,227791,112.7,3,6.8,2.3,3
IM-137,125367,137.7,3,29.2,2.17,2
IM-138,126007,103.8,3,25.6,6.44,3
IM-139,165494,121.9,2,4.0,3.86,1
IM-140,108083,70.3,2,14.3,2.01,2
IM-141,129196,80.3,2,12.4,2.52,1
IM-142,191141,124.5,2,3.8,3.62,2
IM-143,101094,167.6,3,9.3,11.8,1
IM-144,281059,131.2,3,9.9,1.61,2
IM-145,152033,162.9,3,12.1,3.42,2
IM-146,128636,137.2,2,1.1,7.82,1
IM-147,155518,108.5,3,9.0,6.1,1
IM-148,214453,147.5,3,4.9,1.51,2
IM-149,118719,82.0,3,6.0,7.04,2
IM-150,205479,130.6,2,12.6,1.87,2
IM-151,107058,133.8,2,0.8,12.22,2
IM-152,101890,99.2,3,45.0,1.55,2
IM-153,140947,90.5,2,7.2,3.1,1
IM-154,169513,117.9,3,26.5,2.46,2
IM-155,119886,177.5,3,23.9,7.54,3
IM-156,193436,139.2,2,12.8,1.09,0
IM-157,254091,171.8,2,5.9,0.87,1
IM-158,148559,90.7,2,4.1,4.0,1
IM-159,156256,62.7,2,3.6,7.25,4
IM-160,120502,69.0,2,10.0,1.42,1
IM-161,149120,109.4,2,13.3,1.77,1
IM-162,163526,159.1,2,7.3,5.97,3
IM-163,278700,162.6,2,2.3,0.69,2
IM-164,223438,174.9,2,18.3,1.63,2
IM-165,170997,155.5,3,12.7,2.82,2
IM-166,105396,101.2,2,18.1,1.81,1
IM-167,246640,237.0,4,13.7,0.3,2
IM-168,105284,55.0,1,4.8,3.11,1
IM-169,206639,168.7,3,11.9,2.86,1
