carregamentos,materiais,capital,estoques,supervisores,trabalhadores
50443700,42045700,328600,1104000,17300,102200
20257100,14441300,370500,1104300,17800,67000
27414900,19136800,594300,1000700,22800,193200
871800,710300,7300,29500,500,1000
17401800,13841800,279500,1154800,6600,27000
7446400,4258500,178700,514300,5600,9500
5566200,3137400,175100,386900,6200,13500
22474300,16394100,358200,519500,30700,30900
7444600,3192100,199600,834100,3800,17500
14480900,8096000,350600,3649400,9500,50600
2601400,1425400,148900,795100,2300,11700
8365900,4015900,156600,793400,5700,18400
8482100,4735400,249000,1778600,6700,41000
8863800,4321700,258400,599200,7700,38400
7089100,5186800,95900,649700,3500,9200
11506500,2770100,339100,344600,3000,14100
2004100,1417400,38600,429600,800,3300
4048700,2159100,117800,232300,3600,10600
7623200,4426500,546400,387400,2800,6200
6938200,3465200,191200,340800,3500,9800
15063600,10911500,223200,708000,15100,19100
19328500,7155100,592100,462100,70400,88600
10093500,3512400,385200,534900,11000,37700
2048700,920100,61300,137000,2600,11400
1562700,889100,42200,382900,1700,4700
2592700,1969000,78200,349900,1400,2700
2516000,1732100,117700,732500,1000,7100
10910600,4402600,354300,1162400,10500,40700
3232800,1646300,111300,442200,3000,7100
3098300,1944500,75500,577200,1900,7900
803800,614300,69800,281500,500,1900
12496200,10605900,137000,876700,2300,5100
630000,522700,6000,72000,300,500
1857900,1099200,71400,108100,2600,5400
4987500,3609700,77700,353300,2000,5500
16794800,6941800,563500,603400,9900,23600
589700,417500,73400,174700,400,800
4300800,2325200,151000,2278200,7100,6600
3887500,1649900,39700,990400,1900,4700
28334300,16757700,773800,1290900,44400,29000
7440200,1893400,119700,564600,4600,6400
896600,560800,43800,154900,1100,5100
6847700,4497900,137800,735000,6900,32800
6127100,3277500,125600,441600,4000,6100
8167300,2770100,273000,229600,11100,23200
398400,118200,30300,23400,2000,2900
1347100,558100,19500,95400,1200,4200
13314900,6781700,356000,1242300,18600,45700
24879400,5133100,347100,5258100,6600,16400
290600,97100,700,39700,700,1900
1871100,370900,20300,206000,1100,2000
2979900,2342500,18400,559100,1800,4000
6262400,3701000,262200,808200,5100,50600
9423800,5278300,575900,1282600,10100,70600
1810200,1091300,34600,322700,2000,12600
1470000,653500,67300,227900,3300,14200
1690100,856700,47700,264300,2300,19200
2837100,1428700,107400,359300,5600,33200
5263800,2292900,124700,750400,5800,50100
912400,395900,38100,164300,700,12000
5560400,3370400,187400,457700,6600,35300
2605200,1458800,99600,316700,3400,17000
258900,129400,3300,35600,500,2800
3100700,2121200,104700,234800,3600,16400
3484400,1835000,100700,294600,4800,18800
1270200,702300,43800,121600,1500,9400
10961300,7028700,249000,1364900,12200,43000
8005800,5222000,450000,613100,5800,59600
3197600,2350300,77300,236100,1900,15800
922000,541100,35200,135800,700,6000
1804300,1005700,75200,228600,3100,7700
915900,682300,15800,113900,800,4300
3355300,1805400,192100,492500,4700,14900
795000,441300,19000,147300,1600,5800
2360600,1158500,83900,333600,4700,14400
2361500,937300,25400,486700,5300,28700
5088000,2526300,84900,830500,6800,66800
664400,350100,7100,74300,400,10100
704500,342600,2400,107200,1600,4600
7225700,3191700,82400,726700,10300,71900
1714400,811200,22600,303900,4100,24400
2826700,1269200,48400,479200,6200,35400
4146500,2214900,32600,562900,9600,42200
6396200,3119500,53800,1041100,12700,74800
4055200,2339700,24700,619400,9000,34100
8135900,4065300,87500,1341100,18500,107700
2437500,1215800,12700,401000,4500,29000
1807300,923100,13500,357200,3200,10400
990300,417800,14800,197200,3400,14200
1716200,864000,13200,239600,4300,15200
2210100,915900,15500,364400,5300,23200
136700,85600,1200,43200,300,500
379300,166200,5600,59900,600,3200
339000,199200,1000,60100,1200,4700
189200,65500,300,22700,500,2700
237600,119800,100,29400,300,2000
718700,331100,4900,124800,1700,5400
772900,346700,8200,194500,2000,8900
1218800,639500,17400,212000,5000,16100
6206600,3473100,90600,919600,7300,43100
914700,515400,12200,136800,2800,11900
1250100,639200,28200,165600,3000,11400
729400,319900,23500,89300,2800,12100
7010900,3816300,266200,647900,14100,48500
344100,155100,3100,35000,1000,4300
3969800,2172300,84900,493600,7400,30000
16817700,10856700,469000,594400,15500,71700
26760800,17347700,694900,3470400,20400,121800
2799500,1443200,63100,425400,3500,29900
154100,85200,3000,22700,300,1500
