producao,capital,trabalho
336.6,940.7,54
147.8,1119.2,20
63.2,530.9,7
396.0,816.0,51
589.2,1463.2,57
169.3,1176.4,15
175.0,928.7,15
301.1,675.3,37
36.5,53.2,10
100.3,852.6,14
188.6,1011.5,21
132.1,672.2,24
191.8,1061.2,22
302.0,756.7,66
268.5,818.7,44
95.6,191.7,19
120.1,215.3,18
323.0,1097.0,50
174.0,655.9,30
151.8,375.8,23
463.3,588.3,44
200.4,1186.2,18
50.0,608.9,6
183.7,685.1,23
430.2,1066.3,34
578.5,2894.7,62
124.5,339.8,13
441.5,2101.6,38
191.8,553.8,20
319.3,773.9,37
182.9,279.9,32
151.5,1611.5,13
159.9,1725.4,14
457.9,577.2,90
177.6,452.5,24
279.7,963.0,51
112.6,339.6,17
113.0,359.3,16
192.8,314.3,34
146.7,500.1,21
97.5,274.3,11
80.8,331.6,10
115.5,312.7,19
328.9,940.9,64
436.6,1122.2,79
300.8,833.3,41
524.8,1189.8,80
154.3,283.3,45
405.7,1101.4,47
437.0,2662.1,54
253.3,1261.2,36
435.6,2795.3,33
516.1,1291.1,58
297.2,2760.6,31
362.7,2034.9,42
98.6,302.1,19
265.4,890.1,29
380.1,1240.6,40
413.9,1674.1,57
383.7,1987.0,30
179.6,2103.3,11
254.0,769.2,36
234.1,634.8,28
45.8,163.2,9
118.6,209.5,22
261.3,1937.0,23
148.6,476.7,20
149.5,321.1,14
151.5,342.6,22
743.5,908.5,139
147.6,525.0,27
175.2,443.9,28
293.2,1652.2,38
259.2,504.8,24
470.3,1271.9,76
181.8,393.1,28
271.1,1053.5,25
125.1,1975.9,7
215.0,2077.3,26
71.9,241.8,8
902.8,1470.9,136
114.3,152.1,24
196.7,212.1,38
247.1,1268.2,27
99.1,836.2,13
93.2,237.0,16
73.9,127.1,13
83.5,268.8,13
150.8,489.8,18
319.3,939.7,35
272.7,1371.5,28
74.0,689.2,7
69.6,225.1,7
121.0,485.4,14
332.9,644.3,51
194.2,1284.5,23
113.2,473.3,14
284.4,1387.4,25
104.4,206.8,14
113.8,835.3,11
226.7,669.1,32
227.5,671.3,30
172.1,1233.7,21
56.9,227.1,7
466.5,5890.2,40
345.5,1368.5,61
212.7,729.8,27
94.1,884.5,8
114.1,1121.7,14
250.3,760.6,43
209.8,542.6,32
36.4,122.8,10
239.2,966.2,28
202.5,321.3,35
407.2,1164.5,49
263.4,1369.0,34
112.6,465.3,20
358.3,6387.3,20
170.6,1752.4,20
337.4,984.9,41
157.4,1170.6,18
112.6,274.5,22
205.6,959.8,22
693.9,3054.0,61
162.2,979.4,17
531.6,3791.4,54
142.4,685.4,25
568.4,466.2,112
111.4,382.4,14
59.7,203.3,8
112.9,209.9,14
70.8,585.6,10
124.2,543.7,17
139.9,312.8,22
180.5,608.2,26
78.5,1143.7,10
170.4,558.1,21
270.8,1661.5,28
223.1,722.2,23
147.1,138.8,20
687.4,851.5,147
139.5,307.8,20
141.4,836.5,14
123.7,521.5,14
78.4,340.6,10
462.7,1208.6,62
607.4,698.4,96
94.0,773.6,11
299.0,458.2,34
438.2,2008.7,45
126.4,282.3,18
440.0,794.6,136
238.6,806.4,32
89.0,216.0,17
303.3,449.6,49
89.0,252.2,10
140.4,817.6,11
72.1,156.3,12
320.7,554.8,58
147.7,148.5,29
226.1,695.2,53
574.1,3296.7,68
533.2,1388.1,91
162.0,557.0,19
646.0,1936.6,101
186.3,369.8,26
177.8,1654.5,16
276.4,871.2,30
253.0,99.9,48
567.8,2496.3,45
368.2,395.6,62
548.3,2109.6,51
88.9,1422.1,7
443.9,2024.8,63
86.3,784.8,9
141.9,929.8,13
315.7,651.1,35
145.3,637.6,21
213.0,791.4,24
319.6,901.4,63
