obs,investimento,poupanca,recessao81,poupanca_recessao81
1959,78.5,84.5999984741211,0,0.0
1960,78.9000015258789,84.80000305175781,0,0.0
1961,78.19999694824219,91.8000030517578,0,0.0
1962,88.0999984741211,100.6999969482422,0,0.0
1963,93.8000030517578,104.5999984741211,0,0.0
1964,102.0999984741211,117.9000015258789,0,0.0
1965,118.1999969482422,129.6999969482422,0,0.0
1966,131.3000030517578,138.60000610351562,0,0.0
1967,128.60000610351562,151.3000030517578,0,0.0
1968,141.1999969482422,153.6999969482422,0,0.0
1969,156.39999389648438,156.8000030517578,0,0.0
1970,152.39999389648438,174.10000610351562,0,0.0
1971,178.1999969482422,202.5,0,0.0
1972,207.6000061035156,216.8000030517578,0,0.0
1973,244.5,256.29998779296875,0,0.0
1974,249.3999938964844,270.0,0,0.0
1975,230.1999969482422,323.6000061035156,0,0.0
1976,292.0,343.79998779296875,0,0.0
1977,361.2999877929688,382.7999877929688,0,0.0
1978,438.0,436.2999877929688,0,0.0
1979,492.8999938964844,480.5,0,0.0
1980,479.2999877929688,532.4000244140625,0,0.0
1981,572.4000244140625,630.2999877929688,1,630.2999877929688
1982,517.2000122070312,686.0,1,686.0
1983,564.2999877929688,695.7999877929688,1,695.7999877929688
1984,735.5999755859375,830.5999755859375,1,830.5999755859375
1985,736.2000122070312,827.2999877929688,1,827.2999877929688
1986,746.5,803.9000244140625,1,803.9000244140625
1987,785.0,822.7000122070312,1,822.7000122070312
1988,821.5999755859375,917.5,1,917.5
1989,874.9000244140625,931.7999877929688,1,931.7999877929688
1990,861.0,974.2999877929688,1,974.2999877929688
1991,802.9000244140625,1042.9000244140625,1,1042.9000244140625
1992,864.7999877929688,1100.4000244140625,1,1100.4000244140625
1993,953.4000244140624,1083.300048828125,1,1083.300048828125
1994,1097.0999755859375,1114.0,1,1114.0
1995,1144.0,1204.5,1,1204.5
1996,1240.300048828125,1237.800048828125,1,1237.800048828125
1997,1389.800048828125,1303.5999755859375,1,1303.5999755859375
1998,1509.0999755859375,1328.9000244140625,1,1328.9000244140625
1999,1625.699951171875,1333.300048828125,1,1333.300048828125
2000,1735.5,1334.0999755859375,1,1334.0999755859375
2001,1614.300048828125,1400.0999755859375,1,1400.0999755859375
2002,1582.0999755859375,1559.5999755859375,1,1559.5999755859375
2003,1664.0999755859375,1633.300048828125,1,1633.300048828125
2004,1888.5999755859373,1757.0,1,1757.0
2005,2086.10009765625,1854.0999755859373,1,1854.0999755859373
2006,2220.39990234375,1925.5,1,1925.5
2007,2130.39990234375,1885.5999755859373,1,1885.5999755859373
