loja,tratada,depois,empregados
1,1,0,19.5
1,1,1,18.6
2,1,0,22.7
2,1,1,20.1
3,1,0,18.2
3,1,1,21.3
4,1,0,16.4
4,1,1,19.1
5,1,0,19.9
5,1,1,26.8
6,1,0,18.9
6,1,1,21.2
7,1,0,21.2
7,1,1,12.4
8,1,0,19.8
8,1,1,24.3
9,1,0,16.8
9,1,1,18.6
10,1,0,20.1
10,1,1,22.6
11,1,0,23.2
11,1,1,20.4
12,1,0,20.5
12,1,1,20.1
13,1,0,14.7
13,1,1,23.2
14,1,0,22.8
14,1,1,16.2
15,1,0,15.5
15,1,1,23.9
16,1,0,19.8
16,1,1,21.8
17,1,0,22.6
17,1,1,20.2
18,1,0,17.0
18,1,1,21.1
19,1,0,21.3
19,1,1,16.5
20,1,0,26.2
20,1,1,9.2
21,1,0,18.5
21,1,1,22.4
22,1,0,19.6
22,1,1,17.9
23,1,0,20.7
23,1,1,18.0
24,1,0,18.3
24,1,1,19.6
25,1,0,15.2
25,1,1,16.1
26,1,0,20.1
26,1,1,18.7
27,1,0,19.4
27,1,1,23.5
28,1,0,17.2
28,1,1,18.8
29,1,0,15.2
29,1,1,19.9
30,1,0,18.3
30,1,1,15.8
31,1,0,16.2
31,1,1,17.2
32,1,0,20.0
32,1,1,16.7
33,1,0,22.0
33,1,1,16.3
34,1,0,17.1
34,1,1,14.6
35,1,0,20.6
35,1,1,15.7
36,1,0,23.0
36,1,1,20.8
37,1,0,18.2
37,1,1,21.1
38,1,0,10.7
38,1,1,10.7
39,1,0,22.4
39,1,1,15.5
40,1,0,16.6
40,1,1,22.1
41,1,0,19.1
41,1,1,21.1
42,1,0,17.4
42,1,1,15.8
43,1,0,15.2
43,1,1,14.1
44,1,0,18.3
44,1,1,14.8
45,1,0,16.3
45,1,1,17.7
46,1,0,15.2
46,1,1,24.2
47,1,0,21.4
47,1,1,26.7
48,1,0,21.7
48,1,1,24.2
49,1,0,20.2
49,1,1,20.0
50,1,0,19.2
50,1,1,15.2
51,1,0,19.8
51,1,1,14.4
52,1,0,20.8
52,1,1,19.4
53,1,0,22.6
53,1,1,14.7
54,1,0,20.1
54,1,1,21.7
55,1,0,16.7
55,1,1,20.4
56,1,0,26.4
56,1,1,14.6
57,1,0,20.9
57,1,1,20.6
58,1,0,17.3
58,1,1,18.5
59,1,0,23.4
59,1,1,12.7
60,1,0,13.2
60,1,1,19.7
61,1,0,21.2
61,1,1,11.7
62,1,0,11.0
62,1,1,15.4
63,1,0,17.2
63,1,1,22.4
64,1,0,15.5
64,1,1,22.1
65,1,0,11.5
65,1,1,20.6
66,1,0,18.1
66,1,1,21.6
67,1,0,15.6
67,1,1,17.0
68,1,0,18.5
68,1,1,17.9
69,1,0,17.0
69,1,1,18.7
70,1,0,18.3
70,1,1,14.5
71,1,0,10.9
71,1,1,9.9
72,1,0,10.3
72,1,1,24.7
73,1,0,22.8
73,1,1,21.7
74,1,0,20.1
74,1,1,16.7
75,1,0,16.7
75,1,1,20.9
76,1,0,21.7
76,1,1,14.1
77,1,0,11.4
77,1,1,17.1
78,1,0,14.4
78,1,1,8.4
79,1,0,24.6
79,1,1,17.8
80,1,0,17.3
80,1,1,17.0
81,1,0,10.3
81,1,1,18.5
82,1,0,15.6
82,1,1,21.6
83,1,0,20.7
83,1,1,26.1
84,1,0,16.3
84,1,1,16.7
85,1,0,17.0
85,1,1,19.2
86,1,0,19.3
86,1,1,26.6
87,1,0,21.3
87,1,1,15.8
88,1,0,20.5
88,1,1,18.5
89,1,0,19.7
