data,dia,temperatura,chuva,panfletos,preco,vendas
2017-01-01,Domingo,-2.8,20.0,15,1.2,10
2017-01-02,Segunda,-1.7,13.3,15,1.2,13
2017-01-03,Terça,1.4,13.3,27,1.2,15
2017-01-04,Quarta,6.7,10.5,28,1.2,17
2017-01-05,Quinta,5.8,10.0,33,1.2,18
2017-01-06,Sexta,-3.7,15.4,23,1.2,11
2017-01-07,Sábado,0.5,15.4,19,1.2,13
2017-01-08,Domingo,3.1,11.8,28,1.2,15
2017-01-09,Segunda,3.4,11.8,20,1.2,17
2017-01-10,Terça,6.3,10.5,33,1.2,18
2017-01-11,Quarta,0.3,15.4,23,1.2,12
2017-01-12,Quinta,3.4,13.3,16,1.2,14
2017-01-13,Sexta,3.1,13.3,19,1.2,15
2017-01-14,Sábado,6.7,10.5,23,1.2,17
2017-01-15,Domingo,6.3,11.1,33,1.2,18
2017-01-16,Segunda,-0.8,16.7,24,1.2,12
2017-01-17,Terça,0.1,14.3,26,1.2,14
2017-01-18,Quarta,6.0,11.8,33,1.2,16
2017-01-19,Quinta,6.2,11.8,30,1.2,17
2017-01-20,Sexta,-0.2,14.3,20,1.2,12
2017-01-21,Sábado,2.3,12.5,16,1.2,14
2017-01-22,Domingo,4.9,11.1,19,1.2,16
2017-01-23,Segunda,3.4,10.5,21,1.2,17
2017-01-24,Terça,-1.9,15.4,20,1.2,12
2017-01-25,Quarta,0.1,12.5,24,1.2,14
2017-01-26,Quinta,2.1,12.5,18,1.2,16
2017-01-27,Sexta,5.6,10.5,22,1.2,17
2017-01-28,Sábado,1.6,13.3,15,1.2,13
2017-01-29,Domingo,1.8,13.3,27,1.2,14
2017-01-30,Segunda,5.1,10.5,20,1.2,17
2017-01-31,Terça,4.7,10.5,37,1.2,18
2017-02-01,Quarta,5.8,10.0,35,1.2,18
2017-02-02,Quinta,11.1,10.0,22,1.2,20
2017-02-03,Sexta,10.2,8.7,25,1.2,21
2017-02-04,Sábado,13.7,8.299999999999999,46,1.2,22
2017-02-05,Domingo,7.4,11.1,32,1.2,18
2017-02-06,Segunda,7.2,9.5,28,1.2,20
2017-02-07,Terça,11.3,8.7,39,1.2,21
2017-02-08,Quarta,11.4,8.7,31,1.2,22
2017-02-09,Quinta,5.9,10.0,39,1.2,19
2017-02-10,Sexta,10.0,9.1,40,1.2,20
2017-02-11,Sábado,10.7,9.1,35,1.2,21
2017-02-12,Domingo,13.1,8.299999999999999,41,1.2,22
2017-02-13,Segunda,8.0,11.1,34,1.2,18
2017-02-14,Terça,8.7,9.5,35,1.2,19
2017-02-15,Quarta,11.1,9.1,33,1.2,20
2017-02-16,Quinta,8.5,8.7,31,1.2,21
2017-02-17,Sexta,4.7,10.0,29,1.2,18
2017-02-18,Sábado,6.5,9.5,25,1.2,19
2017-02-19,Domingo,10.0,9.5,28,1.2,20
2017-02-20,Segunda,10.2,9.5,25,1.2,21
2017-02-21,Terça,5.8,10.0,28,1.2,18
2017-02-22,Quarta,8.7,9.5,36,1.2,19
2017-02-23,Quinta,7.2,10.0,23,1.2,20
2017-02-24,Sexta,8.5,8.7,36,1.2,21
2017-02-25,Sábado,5.8,10.0,21,1.2,18
2017-02-26,Domingo,9.3,10.5,32,1.2,19
2017-02-27,Segunda,7.2,10.0,34,1.2,20
2017-02-28,Terça,9.8,9.1,45,1.2,22
2017-03-01,Quarta,14.4,8.7,46,1.2,23
2017-03-02,Quinta,14.0,8.0,31,1.2,24
2017-03-03,Sexta,15.7,7.7,28,1.2,24
2017-03-04,Sábado,15.3,7.7,29,1.2,25
2017-03-05,Domingo,13.3,8.7,32,1.2,23
2017-03-06,Segunda,16.2,7.7,28,1.2,24
2017-03-07,Terça,15.7,7.7,32,1.2,24
2017-03-08,Quarta,14.7,7.7,43,1.2,25
2017-03-09,Quinta,11.6,8.0,29,1.2,23
2017-03-10,Sexta,15.1,8.299999999999999,31,1.2,24
2017-03-11,Sábado,14.6,8.299999999999999,30,1.2,24
2017-03-12,Domingo,16.4,7.4,47,1.2,25
2017-03-13,Segunda,13.3,8.7,48,1.2,23
2017-03-14,Terça,14.9,8.7,35,1.2,23
2017-03-15,Quarta,13.4,8.299999999999999,30,1.2,24
2017-03-16,Quinta,15.7,8.299999999999999,39,1.2,24
2017-03-17,Sexta,13.6,7.7,50,1.2,25
2017-03-18,Sábado,12.2,8.299999999999999,32,1.2,23
2017-03-19,Domingo,13.8,8.299999999999999,38,1.2,23
2017-03-20,Segunda,14.6,7.7,33,1.2,24
2017-03-21,Terça,14.0,8.299999999999999,36,1.2,24
2017-03-22,Quarta,13.6,7.4,38,1.2,25
2017-03-23,Quinta,13.3,8.7,35,1.2,23
2017-03-24,Sexta,13.8,8.299999999999999,41,1.2,23
2017-03-25,Sábado,14.6,8.0,50,1.2,24
2017-03-26,Domingo,15.3,7.7,39,1.2,25
2017-03-27,Segunda,15.8,7.4,30,1.2,25
2017-03-28,Terça,13.3,8.299999999999999,48,1.2,23
2017-03-29,Quarta,14.0,8.299999999999999,39,1.2,24
2017-03-30,Quinta,12.9,8.0,47,1.2,24
2017-03-31,Sexta,14.7,7.7,48,1.2,25
2017-04-01,Sábado,14.2,8.0,33,1.2,25
2017-04-02,Domingo,18.8,7.4,47,1.2,26
2017-04-03,Segunda,16.0,7.4,51,1.2,26
2017-04-04,Terça,16.7,7.1,31,1.2,27
2017-04-05,Quarta,18.0,7.1,33,1.2,28
2017-04-06,Quinta,14.2,8.0,31,1.2,25
