faturamento,gasto_pd
5429.0,560.11
4751.0,678.33
1413.0,209.71
6177.0,1080.48
2572.0,213.36
5259.0,491.88
4979.0,496.44
9628.0,1883.04
1887.0,245.11
1814.0,194.69
1388.0,129.81
3609.0,437.41
4035.0,422.08
2661.0,404.75
4118.0,497.0
832.0,88.08
2899.0,306.59
4787.0,577.34
3875.0,253.8
6856.0,469.51
3101.0,384.69
7549.0,1392.12
4615.0,696.2
1777.0,258.74
808.0,137.0
4564.0,587.79
4542.0,855.57
4480.0,747.58
3365.0,518.66
8381.0,981.95
3028.0,289.16
6000.0,1035.17
6390.0,822.38
16263.0,2110.81
6108.0,716.77
12554.0,1613.59
1351.0,145.74
3812.0,415.68
2685.0,439.7
5166.0,664.08
7533.0,1470.07
1372.0,172.52
10274.0,623.29
3236.0,380.2
4074.0,521.62
3626.0,319.96
2636.0,284.89
7859.0,538.46
1583.0,135.16
4792.0,503.8
650.0,86.07
2025.0,302.56
1605.0,217.25
12023.0,1724.41
4431.0,856.91
5772.0,938.83
6319.0,776.55
4443.0,588.25
7836.0,765.83
5126.0,536.18
2968.0,350.66
8004.0,1362.08
7199.0,1249.13
1263.0,151.79
8297.0,1426.69
3335.0,319.94
1818.0,319.0
3572.0,341.53
5185.0,764.35
3875.0,607.99
5089.0,748.15
11531.0,1583.69
6527.0,719.81
10792.0,2036.04
6560.0,778.6
3758.0,376.89
1005.0,98.68
11196.0,2081.7
3482.0,329.33
1772.0,269.47
3503.0,463.22
3338.0,521.74
4071.0,447.6
6566.0,1043.34
5344.0,540.3
3781.0,502.78
2687.0,397.39
4325.0,510.71
9066.0,714.97
8492.0,964.19
3104.0,323.91
2217.0,231.54
2345.0,337.99
4793.0,728.07
5482.0,707.46
9449.0,1518.03
7799.0,1002.75
3568.0,531.79
8912.0,1256.03
5146.0,909.66
3317.0,286.98
6126.0,631.41
10215.0,1281.85
3015.0,486.12
5275.0,427.02
2347.0,182.82
6902.0,744.59
5741.0,662.79
7694.0,1329.5
7724.0,808.3
2696.0,330.88
2192.0,256.47
3136.0,467.51
6763.0,792.98
2958.0,433.15
1331.0,198.01
600.0,89.22
3929.0,358.34
12680.0,1973.37
2915.0,343.75
2615.0,206.46
2291.0,303.17
3688.0,370.41
4893.0,489.11
2194.0,231.77
5385.0,628.81
5236.0,723.77
4020.0,701.83
11099.0,1413.89
2930.0,446.23
1338.0,164.18
4951.0,672.46
3122.0,315.62
3106.0,395.36
5091.0,443.02
3359.0,435.99
16917.0,1118.72
5201.0,354.61
9232.0,1314.72
8115.0,1018.21
8639.0,1346.72
1042.0,153.44
2803.0,282.78
3208.0,443.89
1873.0,261.0
5828.0,1109.32
1867.0,201.76
1597.0,225.83
5181.0,621.78
2104.0,288.07
3778.0,453.06
4125.0,541.14
5868.0,773.91
5104.0,813.19
7798.0,947.45
2898.0,447.72
7403.0,853.68
4144.0,381.64
2398.0,361.86
5877.0,562.45
8572.0,338.78
4701.0,556.79
3345.0,483.68
9196.0,643.63
5193.0,619.72
7124.0,734.31
2208.0,241.67
7640.0,1292.27
4339.0,651.51
831.0,133.33
3226.0,481.21
1732.0,244.13
7679.0,1072.59
3861.0,709.4
6652.0,847.87
3725.0,551.09
2796.0,399.3
2960.0,399.12
12099.0,1386.43
3405.0,494.3
2858.0,433.59
3823.0,357.25
3561.0,436.65
4397.0,765.92
3351.0,390.8
5546.0,695.82
3874.0,551.61
4290.0,351.84
1920.0,244.67
3561.0,141.37
3470.0,500.98
5051.0,442.56
4206.0,413.38
3422.0,346.61
3705.0,233.46
1939.0,212.38
1744.0,199.72
8816.0,1468.57
3631.0,243.09
8034.0,691.11
951.0,174.08
3445.0,440.09
10085.0,834.46
3132.0,570.68
3630.0,565.4
4419.0,594.93
3266.0,446.92
3761.0,529.99
3151.0,254.01
2653.0,307.27
3929.0,247.56
8975.0,2228.31
6494.0,355.24
1588.0,200.53
2530.0,350.23
1792.0,308.15
2890.0,436.27
3548.0,459.72
1565.0,177.74
10227.0,1642.45
4025.0,580.31
3527.0,383.8
1364.0,211.27
4205.0,533.21
9002.0,1190.15
4008.0,520.8
2366.0,303.24
4577.0,525.75
6013.0,783.58
4536.0,725.42
2828.0,507.73
1144.0,104.67
5294.0,654.36
600.0,87.74
4604.0,674.74
3688.0,477.1
8338.0,1122.41
6967.0,1268.52
5773.0,927.11
4026.0,502.46
5133.0,688.07
3828.0,539.87
8383.0,855.72
10839.0,1711.13
4151.0,574.29
3735.0,526.5
4396.0,494.73
8230.0,673.96
2019.0,268.47
4929.0,612.88
9491.0,1562.66
2972.0,377.84
2230.0,190.37
2877.0,482.22
2587.0,267.22
3401.0,504.63
4576.0,889.13
3250.0,358.87
4158.0,411.49
3159.0,355.46
3760.0,416.77
5076.0,526.5
4085.0,593.86
4304.0,521.13
6266.0,557.47
4033.0,536.53
7342.0,913.86
2638.0,380.75
5626.0,323.4
5978.0,861.41
2408.0,321.36
4227.0,558.72
5901.0,790.01
6715.0,975.0
1849.0,239.62
3488.0,292.36
6052.0,490.65
2747.0,280.11
4798.0,807.14
5463.0,787.17
2164.0,274.5
3312.0,368.55
2235.0,239.42
1604.0,153.88
2623.0,372.46
3061.0,405.54
5888.0,989.59
7506.0,873.54
5823.0,620.47
7963.0,920.55
2797.0,150.79
5981.0,780.71
2113.0,248.33
2609.0,305.94
3847.0,501.82
6724.0,1451.92
6156.0,942.7
9944.0,1726.32
4390.0,487.25
6542.0,768.85
