ano,pib_real
1960,2501.800048828125
1961,2560.0
1962,2715.199951171875
1963,2834.0
1964,2998.60009765625
1965,3191.10009765625
1966,3399.10009765625
1967,3484.60009765625
1968,3652.699951171875
1969,3765.39990234375
1970,3771.89990234375
1971,3898.60009765625
1972,4105.0
1973,4341.5
1974,4319.60009765625
1975,4311.2001953125
1976,4540.89990234375
1977,4750.5
1978,5015.0
1979,5173.39990234375
1980,5161.7001953125
1981,5291.7001953125
1982,5189.2998046875
1983,5423.7998046875
1984,5813.60009765625
1985,6053.7001953125
1986,6263.60009765625
1987,6475.10009765625
1988,6742.7001953125
1989,6981.39990234375
1990,7112.5
1991,7100.5
1992,7336.60009765625
1993,7532.7001953125
1994,7835.5
1995,8031.7001953125
1996,8328.900390625
1997,8703.5
1998,9066.900390625
1999,9470.2998046875
2000,9817.0
2001,9890.7001953125
2002,10048.7998046875
2003,10301.0
2004,10675.7998046875
2005,10989.5
2006,11294.7998046875
2007,11523.900390625
