mes,inflacao_alimentos,var_cambio,var_commodities,selic
2012-01,0.049,0.0,0.0,9.5
2012-02,0.8067,4.5283,-1.6372,9.27
2012-03,0.6809,1.2421,0.6301,9.18
2012-04,0.9403,2.723,2.0842,9.49
2012-05,0.5078,2.0959,-3.3699,9.88
2012-06,0.4549,2.0741,-4.0516,9.88
2012-07,-0.587,-2.9993,-1.1666,9.69
2012-08,-0.1299,3.1886,-0.9179,10.15
2012-09,0.0108,1.7358,0.8809,10.03
2012-10,-1.0031,-2.756,2.6469,9.81
2012-11,-1.1964,-1.2955,-1.7571,9.96
2012-12,-1.1463,-0.5735,-4.5059,10.11
2013-01,0.5536,4.6861,-2.8645,10.57
2013-02,0.6273,3.6704,-3.0026,11.65
2013-03,-0.3144,0.0941,-1.8202,11.32
2013-04,-0.569,-1.103,-0.8289,11.61
2013-05,-0.4769,-1.992,3.1711,11.8
2013-06,-0.5756,-1.9023,0.182,11.82
2013-07,-0.8333,-1.2741,-3.2409,11.05
2013-08,-0.4394,-0.993,-0.632,11.49
2013-09,0.4343,1.5873,-0.2457,12.07
2013-10,-0.2198,-0.1734,-5.3994,12.31
2013-11,-0.5502,-2.3199,-1.3231,11.82
2013-12,0.5086,1.5149,0.5647,11.76
2014-01,1.009,0.8626,3.009,12.07
2014-02,0.197,-1.8012,0.2497,12.88
2014-03,0.3367,-0.7927,-2.4756,12.68
2014-04,1.934,2.7824,5.0967,11.71
2014-05,-0.0317,0.7657,-2.6887,11.54
2014-06,0.4615,0.4733,6.6953,12.02
2014-07,-0.1627,-0.8282,0.4444,11.36
2014-08,-0.3084,-2.4663,0.3873,10.54
2014-09,0.4408,-0.3068,2.094,10.25
2014-10,0.7864,2.4401,-2.9542,10.77
2014-11,0.8131,2.2959,-0.8034,10.5
2014-12,0.8223,2.9847,-1.2199,10.4
2015-01,0.9966,5.1298,-0.0164,10.21
2015-02,-0.1494,1.696,-1.0657,10.64
2015-03,0.2724,1.926,-3.2043,10.28
2015-04,-0.2615,-0.2412,-2.5439,10.35
2015-05,0.3481,0.9712,2.2989,10.64
2015-06,-0.0722,1.4573,-4.8351,10.28
2015-07,0.2172,-0.8156,0.4563,9.68
2015-08,0.0914,1.7523,-3.4875,10.28
2015-09,-0.8684,-0.604,-8.7066,10.33
2015-10,0.0695,0.4908,0.821,10.27
2015-11,-0.5421,-0.5372,-5.3871,10.04
2015-12,0.6745,0.934,0.0,10.3
2016-01,0.8185,3.5062,0.0,9.97
2016-02,0.2769,1.4911,0.0,9.62
2016-03,-0.2861,0.4998,0.0,10.27
2016-04,-0.8591,-3.1368,0.0,10.48
2016-05,0.3419,0.849,2.0963,10.59
2016-06,-0.579,-1.5694,1.196,9.72
2016-07,0.1146,3.5726,-3.1624,8.93
2016-08,-0.333,-0.3659,4.7343,9.13
2016-09,0.0523,-2.0158,4.0813,9.17
2016-10,-0.0436,-1.3227,1.0311,8.4
2016-11,0.4813,0.8723,2.2131,8.37
2016-12,-0.6232,-3.5503,-2.8156,8.86
2017-01,-0.0562,-0.0895,-1.1476,9.53
2017-02,0.1124,1.0129,0.7896,10.3
2017-03,-0.2304,1.4776,-4.0555,10.3
2017-04,0.0149,-0.4557,1.7594,9.82
2017-05,-0.6635,-1.7265,-2.576,9.35
2017-06,1.1259,2.1417,7.0436,9.59
2017-07,0.5897,1.2079,2.5652,10.0
2017-08,-0.275,-0.9532,-0.284,10.13
2017-09,0.7649,0.5853,2.0055,10.08
2017-10,0.5,-0.1248,-0.9542,9.86
2017-11,1.2497,1.5574,2.3146,9.26
2017-12,-0.4317,-1.5618,-4.321,10.0
2018-01,0.7674,-2.2337,4.226,10.25
2018-02,1.2669,0.8956,2.3375,9.49
2018-03,0.8943,1.2675,-0.3697,9.42
2018-04,0.7444,-0.6558,3.1725,8.05
2018-05,1.0369,0.0026,0.6138,8.39
2018-06,0.3117,-2.8303,2.4283,8.19
2018-07,0.1831,-2.3453,5.5332,6.96
2018-08,0.4705,0.3024,0.5236,8.15
2018-09,-0.3333,-0.283,-5.0296,7.99
2018-10,0.1566,1.3009,0.1693,8.47
