dia,retorno
1,0.05
2,-3.884
3,-0.2677
4,0.2427
5,2.2549
6,0.7256
7,2.2674
8,0.8198
9,2.7859
10,2.1236
11,-2.9188
12,2.1308
13,-2.4078
14,2.4184
15,-0.5495
16,2.9888
17,-1.8941
18,0.0881
19,1.7378
20,-1.1742
21,1.0894
22,0.0687
23,-1.3614
24,-2.1774
25,1.709
26,-2.2357
27,-2.311
28,0.8574
29,-2.9441
30,-1.4394
31,0.9736
32,-1.5025
33,0.7792
34,-1.9013
35,-2.8468
36,0.1336
37,4.8771
38,-2.1059
39,-0.6855
40,1.9471
41,1.1027
42,2.7821
43,-3.603
44,0.677
45,0.9355
46,2.0068
47,-5.2546
48,-3.1707
49,0.871
50,-3.1631
51,-1.3468
52,0.2009
53,-0.4856
54,-3.1736
55,0.9594
56,2.2086
57,0.7442
58,-3.8718
59,1.9177
60,0.3487
61,-1.3662
62,-1.0644
63,-0.3082
64,0.7551
65,2.4595
66,2.4789
67,-0.8346
68,2.72
69,0.4967
70,-2.0959
71,-5.2729
72,-0.154
73,-0.9232
74,-0.1565
75,-1.7201
76,-1.6429
77,1.3589
78,-1.1962
79,0.5505
80,1.8996
81,-0.8433
82,2.3982
83,-2.1876
84,-1.3498
85,-2.6866
86,3.245
87,2.1593
88,-2.4377
89,5.5718
90,-2.141
91,-0.4413
92,-0.2941
93,-3.6351
94,-2.2793
95,0.0707
96,-3.338
97,1.1665
98,3.6325
99,-1.7979
100,1.9004
101,3.3664
102,0.4394
103,-0.0019
104,-4.0055
105,-4.1744
106,-2.5194
107,-2.006
108,0.9348
109,0.2233
110,4.3422
111,-0.4908
112,1.5207
113,-1.8654
114,-2.8805
115,-2.4995
116,0.4889
117,-1.1499
118,0.9365
119,-2.9558
120,-2.4372
121,2.4441
122,-1.5974
123,5.0602
124,-3.7325
125,-5.1766
126,-5.1124
127,-4.5926
128,3.0512
129,3.6507
130,-0.132
131,-5.6636
132,-0.7925
133,-2.9461
134,-2.7313
135,-3.1809
136,2.5098
137,-9.4702
138,-7.2226
139,16.2828
140,6.5756
141,0.6573
142,9.8715
143,5.8804
144,0.5484
145,3.9648
146,9.2509
147,-7.6591
148,-5.7392
149,-0.8451
150,-3.4734
151,-5.8932
152,-10.6992
153,1.2732
154,8.9233
155,-2.2119
156,9.6784
157,4.8834
158,-0.6742
159,1.8688
160,2.6367
161,-1.0909
162,0.388
163,0.513
164,-0.772
165,-1.1348
166,0.4623
167,0.4309
168,-0.1388
169,-3.9202
170,1.1312
171,7.6145
172,1.0692
173,-4.7394
174,1.0386
175,-5.1712
176,0.3212
177,5.9414
178,-0.8462
179,0.6026
180,-1.8454
181,1.9494
182,-3.2865
183,2.4786
184,-0.4534
185,-2.5681
186,4.0111
187,-0.1281
188,5.6276
189,1.7631
190,-1.6841
191,-1.1247
192,-3.0198
193,3.5738
194,-0.1724
195,-0.1595
196,0.4997
197,1.4775
198,2.2824
199,-2.313
200,-1.5157
201,0.712
202,-0.0449
203,-1.3082
204,0.8208
205,-3.2369
206,-5.1123
207,3.0256
208,-5.1451
209,7.0639
210,-4.5963
211,-0.4859
212,1.7163
213,4.8673
214,8.6499
215,3.6239
216,-1.9498
217,0.3671
218,3.6778
219,0.9076
220,2.971
221,-0.4848
222,-0.2689
223,-2.0753
224,-1.4918
225,-1.0773
226,2.2663
227,4.3494
228,-2.5917
229,2.4239
230,-2.6556
231,-2.2655
232,3.5576
233,-1.5335
