obs,salario,feminino,nao_branco,sindicato,escolaridade,experiencia
1,11.550000190734863,1,0,0,12,20
2,5.0,0,0,0,9,9
3,12.0,0,0,0,16,15
4,7.0,0,1,1,14,38
5,21.149999618530277,1,1,0,16,19
6,6.920000076293945,1,0,0,12,4
7,10.0,1,0,0,12,14
8,8.0,1,1,0,12,32
9,15.630000114440918,0,0,0,18,7
10,18.21999931335449,1,0,0,18,5
11,20.0,0,0,0,20,31
12,4.349999904632568,1,0,0,12,7
13,5.0,0,0,0,5,31
14,8.25,0,1,0,12,14
15,15.0,0,0,1,12,15
16,19.0,1,1,1,14,26
17,18.0,0,1,1,14,23
18,7.070000171661377,0,0,1,16,4
19,8.0,0,0,0,14,16
20,25.0,0,0,0,14,27
21,17.299999237060547,1,0,0,12,44
22,16.0,1,0,0,12,38
23,5.0,1,0,0,12,19
24,8.25,0,0,0,12,13
25,8.0,1,0,1,12,14
26,13.6899995803833,1,1,0,12,20
27,19.899999618530277,0,0,0,12,26
28,22.0,1,1,1,12,17
29,6.5,1,0,0,12,1
30,12.0,1,1,0,12,19
31,13.390000343322754,0,0,0,12,34
32,36.84999847412109,0,0,0,20,21
33,27.46999931335449,0,0,0,16,25
34,6.0,0,1,0,12,2
35,21.540000915527344,1,0,1,18,19
36,12.43000030517578,0,0,0,12,7
37,19.700000762939453,0,0,0,12,33
38,7.5,1,0,0,12,11
39,25.950000762939453,0,0,0,18,12
40,25.950000762939453,1,0,0,16,13
41,11.529999732971191,1,0,0,18,29
42,5.5,1,0,0,12,2
43,9.619999885559082,0,0,0,12,10
44,5.25,1,1,0,12,3
45,11.5,0,0,0,12,9
46,17.0,0,0,0,16,30
47,11.0,0,0,1,12,30
48,13.0,1,0,0,12,29
49,7.320000171661377,0,0,0,12,2
50,5.5,0,0,0,12,6
51,11.520000457763672,0,0,0,12,33
52,15.0,0,0,0,12,37
53,13.5,0,0,1,12,16
54,6.75,1,0,0,11,12
55,12.5,0,0,0,12,12
56,7.099999904632568,0,0,0,9,28
57,6.0,0,1,0,11,35
58,14.43000030517578,0,0,0,16,9
59,13.779999732971191,1,0,0,16,2
60,5.0,1,1,0,12,7
61,4.489999771118164,1,1,1,10,31
62,10.0,0,0,0,5,42
63,5.0,1,0,0,12,37
64,17.68000030517578,1,0,1,16,33
65,4.380000114440918,1,1,0,12,23
66,6.880000114440918,1,0,0,12,12
67,12.5,1,0,0,12,25
68,13.899999618530272,1,0,0,16,8
69,7.0,0,0,0,12,41
70,12.0,0,0,1,11,32
71,9.0,0,0,0,12,15
72,6.5,0,0,0,11,6
73,16.0,0,0,1,12,42
74,2.130000114440918,1,0,0,12,12
75,9.619999885559082,0,1,0,12,21
76,20.200000762939453,1,0,0,18,21
77,14.43000030517578,1,0,0,20,2
78,35.83000183105469,0,0,0,20,20
79,16.670000076293945,1,0,0,14,11
80,23.07999992370605,0,0,1,18,25
81,4.25,0,0,0,14,7
82,5.5,1,0,0,12,25
83,15.59000015258789,0,0,0,12,36
84,6.940000057220459,1,1,0,14,26
85,25.0,1,0,0,14,30
86,5.0,0,0,0,12,3
87,15.68000030517578,1,0,1,16,21
88,9.529999732971191,1,1,0,12,19
89,11.0,0,0,0,12,7
90,4.25,1,0,0,12,0
91,4.0,1,1,0,12,34
92,8.25,0,0,0,12,15
93,22.0,0,0,1,12,15
94,5.150000095367432,1,0,0,12,1
95,4.699999809265137,0,0,0,16,1
96,8.0,0,0,0,1,26
97,12.0,0,1,1,11,32
98,2.0,1,0,0,5,14
99,5.0,0,0,0,9,12
100,7.0,0,0,0,12,3
101,12.0,0,0,1,5,30
102,17.489999771118164,0,0,0,12,14
