esc,regiao,nbnhisp,hispanico,genero,civil,exp,sind,salhora,esc_escolaridade_em_anos
10,0,0,0,0,1,27,0,9.0,"região = 1 se Sul, 0 caso contrário"
12,0,0,0,0,1,20,0,5.5,"nbnhisp = 1 se não branco, não hispânico, 0 caso contrário"
12,0,0,0,1,0,4,0,3.799999952316284,hispânico = 1 se hispânico
12,0,0,0,1,1,29,0,10.5,"gênero = 1 se feminino, 0 se homem"
12,0,0,0,0,1,40,1,15.0,"civil = 1 se casdo, 0 caso contrário"
16,0,0,0,1,1,27,0,9.0,exp = experiência em anos
12,0,0,0,1,1,5,1,9.56999969482422,"sind = 1 se sindicalizado,0 caso contrário"
14,0,0,0,0,0,22,0,15.0,"salhora = salário por hora, e dólares"
8,0,0,0,0,1,42,0,11.0,
12,0,0,0,1,1,14,0,5.0,
17,0,0,1,0,1,18,0,24.979999542236328,
17,0,0,0,0,0,3,0,20.399999618530277,
14,0,0,1,0,0,4,1,25.0,
14,0,0,0,0,0,14,0,13.979999542236328,
12,0,0,0,0,1,35,0,3.5,
14,0,0,1,0,0,0,0,5.0,
16,0,0,1,0,1,7,1,10.0,
16,0,1,0,0,1,26,1,15.0,
13,0,1,0,0,0,3,0,5.829999923706055,
13,0,0,1,0,0,16,0,9.100000381469728,
17,0,1,0,1,1,32,0,11.25,
12,0,1,0,0,1,25,1,13.0,
14,0,0,0,1,0,15,1,8.0,
12,0,0,0,1,1,38,0,4.28000020980835,
16,0,1,0,0,1,17,0,7.880000114440918,
12,0,0,0,1,0,7,0,6.940000057220459,
17,0,0,0,1,0,5,0,24.979999542236328,
14,0,0,0,0,1,22,0,10.0,
14,0,0,0,0,1,21,0,13.75,
13,0,0,1,1,1,2,0,5.619999885559082,
14,0,1,0,0,1,16,0,14.670000076293944,
16,0,0,0,0,1,18,0,24.979999542236328,
12,0,0,0,0,1,14,0,12.0,
18,0,0,0,0,1,12,0,15.0,
16,0,0,0,0,0,3,0,5.769999980926514,
17,0,0,0,1,1,13,0,12.649999618530272,
16,0,0,0,1,0,42,0,11.710000038146973,
12,0,0,0,0,1,8,0,13.0,
15,0,0,0,1,1,6,0,12.5,
16,0,0,0,0,1,22,0,22.5,
16,0,1,0,1,0,3,0,11.25,
16,0,0,0,0,1,33,0,15.380000114440918,
13,0,0,0,1,0,8,1,7.699999809265137,
