salario_hora,escolaridade,experiencia,feminino
12.24,8,6,0
24.27,12,20,0
10.83,4,14,0
30.68,16,4,0
22.3,13,28,1
18.04,10,15,1
24.78,10,14,0
18.33,12,11,1
24.03,10,18,0
18.18,10,9,1
22.05,13,13,1
21.43,13,21,0
22.19,11,11,0
17.19,11,0,0
22.51,11,9,0
17.09,9,21,0
22.76,9,24,1
28.22,13,15,0
27.75,10,26,1
13.09,6,9,0
18.77,9,25,1
26.7,13,14,1
19.6,10,20,0
12.56,10,0,1
25.96,13,19,0
24.13,17,11,1
28.69,8,31,0
31.15,15,12,0
6.44,7,9,1
11.38,11,7,1
16.96,7,20,0
29.82,15,13,0
27.16,14,6,0
29.94,15,2,0
23.83,8,28,0
20.8,13,10,0
22.01,9,15,0
15.37,9,11,0
25.26,13,23,0
20.97,14,20,1
15.47,11,6,1
16.26,9,15,1
13.4,8,9,1
38.99,16,25,0
24.47,13,16,1
23.67,13,10,1
28.63,18,6,1
26.14,8,20,0
27.17,20,5,1
37.05,20,19,1
23.65,16,3,0
21.07,14,2,1
25.64,9,27,0
20.61,14,8,0
22.56,9,27,0
22.85,11,21,1
20.59,10,4,0
21.86,12,8,0
37.4,15,11,0
26.58,9,13,0
9.16,7,19,1
17.42,7,12,0
19.04,8,15,1
18.68,6,26,1
25.33,8,27,1
15.56,15,4,0
16.23,9,13,0
29.16,12,12,0
19.58,7,6,0
32.93,11,21,0
21.08,5,23,1
16.11,8,20,0
34.36,18,8,0
21.52,9,22,0
30.22,15,18,0
24.66,12,22,1
19.71,10,13,0
19.63,9,18,0
27.3,15,8,1
19.15,10,12,0
29.49,16,18,1
21.18,8,16,0
18.72,11,13,1
24.44,12,18,0
29.47,12,18,0
8.68,7,11,1
16.8,9,10,0
16.52,10,20,1
19.26,8,20,1
34.29,13,11,0
23.61,13,22,0
16.83,4,18,1
16.76,5,3,0
6.0,6,11,1
14.91,11,2,0
33.47,18,18,0
18.21,9,19,0
23.19,12,14,1
16.33,7,0,1
15.42,7,5,1
11.85,4,18,1
18.94,11,0,1
29.65,14,19,0
15.08,10,14,1
26.21,16,9,0
24.33,11,13,0
18.39,11,6,1
