municipio,gasto_saude_pc,populacao_mil,pib_mil,receita_pc,perc_idosos
MT-001,1036.56,4.32,65.8,3.664,10.7
MT-002,1309.11,2.0,43.6,4.71,15.4
MT-003,980.94,18.65,284.7,4.997,7.4
MT-004,1030.35,21.62,416.7,4.849,9.2
MT-005,947.13,7.15,128.6,4.404,7.8
MT-006,1023.82,14.55,230.6,4.099,7.7
MT-007,1070.47,59.63,1416.3,4.749,7.6
MT-008,1056.63,30.15,546.1,4.608,4.0
MT-009,1082.36,20.81,344.4,4.38,8.3
MT-010,1033.86,20.38,359.4,4.723,6.4
MT-011,1093.65,4.0,76.0,4.254,10.4
MT-012,916.15,27.23,370.7,4.56,6.7
MT-013,1139.0,2.0,31.0,4.404,11.1
MT-014,1217.6,6.98,100.3,4.124,11.8
MT-015,1164.36,6.25,77.3,4.068,11.5
MT-016,1140.37,2.0,43.4,4.765,15.6
MT-017,961.87,8.81,208.2,4.964,10.0
MT-018,1037.54,55.58,1255.1,4.717,4.1
MT-019,1149.29,6.92,90.9,4.382,11.4
MT-020,1190.97,2.79,54.4,5.286,10.3
MT-021,939.7,8.99,185.0,4.12,8.3
MT-022,1155.98,24.26,396.9,3.804,10.8
MT-023,1218.04,12.12,255.7,4.661,10.8
MT-024,1046.35,9.87,146.1,4.025,10.2
MT-025,1310.0,2.25,33.6,4.356,15.3
MT-026,903.11,16.75,261.1,3.879,7.8
MT-027,1062.45,16.48,262.3,4.42,9.3
MT-028,760.93,40.47,611.1,4.726,5.0
MT-029,986.21,47.26,1023.3,4.99,5.4
MT-030,1260.25,20.39,304.5,3.994,8.0
MT-031,1342.79,2.0,33.3,4.33,15.9
MT-032,1363.91,2.19,35.4,4.66,11.8
MT-033,1342.51,3.12,84.8,5.409,13.8
MT-034,1063.13,13.49,207.9,4.066,8.8
MT-035,1076.92,4.33,85.7,4.321,8.6
MT-036,958.59,39.14,990.8,5.133,4.0
MT-037,1094.63,12.79,187.0,4.197,7.8
MT-038,1002.05,14.52,226.5,4.055,10.4
MT-039,1069.8,21.76,372.1,4.76,8.1
MT-040,1461.37,14.15,201.7,3.778,11.6
MT-041,1255.49,2.25,51.1,4.495,13.2
MT-042,927.3,129.9,2163.3,4.711,5.9
MT-043,1128.42,45.99,1011.6,4.483,6.4
MT-044,1016.62,48.99,980.2,4.816,4.4
MT-045,1121.46,4.51,82.3,4.135,12.5
MT-046,1074.18,2.0,43.2,4.889,12.8
MT-047,1116.79,2.03,35.0,4.591,10.9
MT-048,1119.56,3.27,72.0,5.158,10.8
MT-049,990.72,24.99,357.6,4.211,6.8
MT-050,1060.68,25.47,404.1,4.272,7.8
MT-051,1090.36,45.77,1034.9,4.668,7.4
MT-052,823.97,93.86,1165.6,4.472,5.4
MT-053,1203.37,17.1,338.6,4.354,11.6
MT-054,1010.51,14.36,242.1,4.39,5.5
MT-055,969.38,6.76,111.2,4.995,10.1
MT-056,1276.66,6.95,111.3,4.62,14.5
MT-057,1173.06,2.93,67.3,4.926,11.8
MT-058,1003.87,16.92,233.2,4.095,6.3
MT-059,944.38,13.82,292.0,4.894,7.6
MT-060,1022.42,6.47,128.1,4.228,8.9
MT-061,1062.51,4.23,71.1,3.983,10.7
MT-062,977.01,15.99,286.0,4.203,11.2
MT-063,1030.2,39.01,805.1,5.04,4.2
MT-064,1014.46,10.78,176.0,4.453,8.2
MT-065,1137.39,13.33,184.3,3.973,11.1
MT-066,1020.43,5.57,106.4,4.438,11.3
MT-067,959.45,7.62,119.0,4.498,10.7
MT-068,979.14,7.1,119.8,4.788,9.7
MT-069,872.65,7.34,134.6,4.018,11.7
MT-070,1028.52,5.29,109.7,5.021,9.3
MT-071,1195.68,15.01,378.2,5.074,10.1
MT-072,1148.91,38.74,748.9,4.346,6.6
MT-073,1273.49,3.66,67.9,4.399,11.5
MT-074,1133.99,43.01,905.9,4.78,5.3
MT-075,1310.95,6.48,124.0,4.46,12.0
MT-076,1355.92,6.73,90.2,4.267,11.0
MT-077,1216.3,2.0,32.6,4.084,14.1
MT-078,1328.48,2.0,29.1,3.752,15.5
MT-079,1121.38,21.42,441.4,5.341,6.1
MT-080,919.85,3.15,71.9,4.757,14.2
MT-081,1127.52,23.05,446.7,4.625,9.8
MT-082,1142.42,10.44,157.5,4.486,11.2
MT-083,1168.52,12.87,270.3,5.03,9.4
MT-084,964.7,40.13,613.3,4.623,7.2
MT-085,941.35,9.17,174.5,4.233,7.5
MT-086,1215.39,2.0,29.3,4.272,16.8
MT-087,1272.98,2.0,28.3,4.296,13.3
MT-088,1056.26,27.48,387.9,4.501,7.0
MT-089,1120.49,80.54,1468.3,4.323,5.8
MT-090,936.19,8.95,144.4,4.507,9.1
MT-091,1243.84,4.73,93.1,4.638,10.1
MT-092,1491.99,2.29,33.0,4.703,14.8
MT-093,903.67,17.56,348.6,3.797,7.7
MT-094,1187.85,2.0,32.5,4.424,12.8
MT-095,922.77,2.68,60.9,4.805,9.3
MT-096,742.27,11.42,249.3,4.868,7.0
MT-097,916.33,11.02,192.5,4.462,8.9
MT-098,1106.86,7.54,139.8,4.269,10.6
MT-099,972.33,30.23,574.0,4.74,4.1
MT-100,1133.71,2.68,53.0,4.686,12.5
