data,boi,soja_br,soja_us,petr4
mar/06,133.06,27.79,12.88,5.94
abr/06,134.67,27.02,12.7,6.36
mai/06,130.73,28.68,13.15,6.04
jun/06,130.76,29.41,13.1,5.95
jul/06,134.85,29.6,13.51,6.24
ago/06,149.56,28.91,13.4,5.97
set/06,157.63,29.1,13.42,5.62
out/06,163.71,32.13,14.96,5.97
nov/06,145.81,34.37,15.92,6.34
dez/06,140.78,33.31,15.5,7.06
jan/07,140.33,33.68,15.75,6.64
fev/07,143.84,34.71,16.55,6.13
mar/07,145.26,34.01,16.29,6.61
abr/07,144.6,31.96,15.72,6.47
mai/07,143.53,32.12,16.23,6.65
jun/07,147.85,32.94,17.05,7.44
jul/07,157.85,33.65,17.87,7.6
ago/07,164.25,37.11,18.89,7.52
set/07,156.33,41.3,21.77,8.78
out/07,162.01,42.2,23.44,10.21
nov/07,183.35,42.96,24.26,10.69
dez/07,185.77,44.03,24.66,12.99
jan/08,185.49,47.93,27.02,11.82
fev/08,185.2,49.99,28.96,12.02
mar/08,187.56,48.06,28.16,10.92
abr/08,188.94,46.72,27.7,12.45
mai/08,195.09,46.65,28.12,14.5
jun/08,219.76,52.35,32.36,13.67
jul/08,221.5,52.96,33.28,10.62
ago/08,219.28,46.84,29.04,10.33
set/08,211.26,48.14,26.8,10.38
out/08,214.88,46.65,21.43,6.9
nov/08,208.4,47.32,20.83,5.93
dez/08,193.25,46.73,19.47,6.76
jan/09,196.25,51.02,22.08,7.42
fev/09,189.89,49.24,21.3,7.83
mar/09,180.21,47.67,20.62,8.46
abr/09,184.98,50.16,22.75,8.76
mai/09,182.59,52.78,25.61,10.33
jun/09,184.99,52.37,26.73,9.73
jul/09,185.8,49.94,25.86,9.44
ago/09,177.73,50.06,27.12,9.5
set/09,175.92,46.27,25.43,10.6
out/09,175.34,43.96,25.31,10.61
nov/09,168.29,42.01,24.31,11.82
dez/09,168.54,41.39,23.64,11.18
jan/10,169.44,40.22,22.59,10.47
fev/10,171.22,38.24,20.78,10.6
mar/10,174.43,37.38,20.93,10.84
abr/10,180.4,37.43,21.3,10.05
mai/10,176.31,38.4,21.15,9.1
jun/10,179.45,38.91,21.51,8.31
jul/10,183.93,41.37,23.37,8.62
ago/10,194.64,43.83,24.91,8.06
set/10,203.39,44.75,26.03,8.5
out/10,216.9,45.72,27.14,8.05
nov/10,241.13,49.17,28.69,7.66
dez/10,222.49,49.59,29.26,8.54
jan/11,216.57,50.78,30.3,8.54
fev/11,217.98,51.39,30.8,9.01
mar/11,218.96,49.54,29.86,8.95
abr/11,214.86,47.19,29.76,8.12
mai/11,205.81,47.83,29.66,7.68
jun/11,198.83,47.88,30.16,7.63
jul/11,203.17,48.5,31.03,7.56
ago/11,206.0,49.38,30.95,6.69
set/11,199.85,51.94,29.68,6.2
out/11,201.64,48.47,27.41,7.01
nov/11,213.36,47.74,26.67,7.16
dez/11,203.44,47.7,25.94,7.04
jan/12,196.48,49.55,27.71,8.05
fev/12,192.33,49.32,28.72,8.03
mar/12,186.24,54.93,30.61,7.71
abr/12,187.71,60.35,32.51,7.07
mai/12,182.03,63.79,32.14,6.35
jun/12,180.76,68.05,33.18,6.12
