imovel,preco_ha,produtividade,aptidao,distancia_km,irrigacao,area_ha
MT-001,44.12,51.7,64.2,8,0,762
MT-002,24.73,60.6,72.7,68,0,302
MT-003,4.5,45.7,45.8,132,0,246
MT-004,54.39,68.8,85.5,33,0,363
MT-005,39.14,65.1,71.3,118,0,300
MT-006,12.17,57.6,64.8,169,0,642
MT-007,12.86,56.5,61.8,125,0,1470
MT-008,40.66,60.8,68.6,51,1,873
MT-009,22.13,56.1,64.7,107,0,754
MT-010,31.06,58.1,65.4,101,0,354
MT-011,48.41,64.7,76.7,28,0,460
MT-012,46.97,66.5,72.0,7,0,581
MT-013,18.04,62.3,63.8,262,1,516
MT-014,34.56,62.1,66.9,39,1,594
MT-015,39.42,64.9,74.3,20,0,232
MT-016,39.99,53.5,54.5,16,0,1840
MT-017,29.95,58.4,60.5,29,0,209
MT-018,28.47,65.2,74.6,60,0,478
MT-019,37.63,59.9,65.8,47,0,944
MT-020,24.26,54.2,48.1,27,0,314
MT-021,45.77,61.2,68.4,8,0,1102
MT-022,18.01,66.4,77.9,296,0,197
MT-023,44.03,59.5,61.6,6,0,313
MT-024,9.87,56.9,59.6,233,1,102
MT-025,60.32,62.5,75.8,7,0,1085
MT-026,20.76,74.0,96.8,45,0,228
MT-027,13.66,54.9,59.4,136,0,323
MT-028,35.21,67.0,77.6,84,0,896
MT-029,8.91,51.2,47.3,99,0,666
MT-030,50.58,61.9,70.7,9,0,1102
MT-031,6.22,53.5,56.4,186,0,822
MT-032,37.61,69.3,86.1,80,1,975
MT-033,12.05,65.4,79.4,254,0,373
MT-034,23.14,68.0,86.5,314,0,492
MT-035,12.41,54.1,60.8,121,0,875
MT-036,22.06,62.7,74.6,147,0,883
MT-037,12.74,57.9,62.8,274,0,1011
MT-038,15.38,60.7,58.8,105,0,305
MT-039,43.04,65.0,70.9,68,1,242
MT-040,41.76,63.5,81.4,49,0,217
MT-041,31.53,61.6,65.8,48,0,374
MT-042,18.16,52.4,60.4,76,0,486
MT-043,9.73,50.9,58.3,72,0,226
MT-044,67.05,71.3,89.7,6,0,458
MT-045,61.27,64.3,71.8,11,0,811
MT-046,41.36,63.8,78.7,31,0,1041
MT-047,70.8,71.5,96.0,19,0,345
MT-048,25.84,52.0,62.5,88,1,775
MT-049,4.5,78.2,98.0,308,0,213
MT-050,46.99,80.0,98.0,17,0,328
MT-051,27.84,72.6,90.8,151,0,561
MT-052,40.48,68.5,75.8,26,0,332
MT-053,9.37,54.7,54.9,107,0,302
MT-054,59.47,67.8,84.0,9,0,628
MT-055,26.19,56.7,63.7,72,1,260
MT-056,20.85,59.0,57.1,48,0,563
MT-057,4.5,57.5,61.1,162,0,483
MT-058,65.99,63.7,67.9,10,0,743
MT-059,65.51,67.2,86.9,48,1,883
MT-060,16.74,58.2,65.8,186,0,571
MT-061,16.56,55.8,62.2,95,0,368
MT-062,35.29,53.0,57.4,11,0,1053
MT-063,20.83,53.7,51.7,179,1,597
MT-064,23.22,47.4,45.5,15,0,281
MT-065,50.6,57.9,52.9,8,0,587
MT-066,71.33,70.8,86.5,8,0,339
MT-067,18.34,56.2,64.6,136,1,89
MT-068,9.55,61.9,64.8,170,0,266
MT-069,4.5,52.3,54.3,199,0,399
MT-070,18.6,60.0,73.4,120,0,377
MT-071,4.5,48.3,46.5,210,1,177
MT-072,9.89,53.4,70.0,240,0,407
MT-073,41.1,76.7,98.0,51,0,701
MT-074,21.61,54.7,60.5,74,0,234
MT-075,22.26,69.5,84.6,266,0,622
MT-076,35.93,63.0,72.1,46,0,126
MT-077,41.19,59.4,62.3,16,0,740
MT-078,13.78,60.8,61.0,251,1,349
MT-079,77.8,70.5,88.7,7,1,203
MT-080,26.65,59.2,64.9,61,0,1128
