mes,vendas
2015-01,913.8
2015-02,925.2
2015-03,880.9
2015-04,884.5
2015-05,883.7
2015-06,896.5
2015-07,939.8
2015-08,802.1
2015-09,757.6
2015-10,682.6
2015-11,792.7
2015-12,852.7
2016-01,949.0
2016-02,902.6
2016-03,928.1
2016-04,993.8
2016-05,986.8
2016-06,969.9
2016-07,984.8
2016-08,841.0
2016-09,846.9
2016-10,766.1
2016-11,759.8
2016-12,830.1
2017-01,902.2
2017-02,1032.7
2017-03,949.9
2017-04,1077.3
2017-05,968.8
2017-06,1019.3
2017-07,992.5
2017-08,943.8
2017-09,810.1
2017-10,793.7
2017-11,820.4
2017-12,923.8
2018-01,960.0
2018-02,976.8
2018-03,1026.9
2018-04,1069.5
2018-05,1054.5
2018-06,1001.7
2018-07,1006.2
2018-08,954.6
2018-09,887.1
2018-10,846.0
2018-11,874.4
2018-12,1025.1
2019-01,1044.4
2019-02,1064.3
2019-03,1001.0
2019-04,1029.5
2019-05,1023.1
2019-06,1074.6
2019-07,997.6
2019-08,952.2
2019-09,824.1
2019-10,855.8
2019-11,856.2
2019-12,1032.6
2020-01,1116.4
2020-02,1128.0
2020-03,1042.1
2020-04,1083.2
2020-05,1097.7
2020-06,1148.6
2020-07,1105.9
2020-08,1042.0
2020-09,921.7
2020-10,882.2
2020-11,987.0
2020-12,996.9
2021-01,1059.7
2021-02,1121.1
2021-03,1125.3
2021-04,1088.9
2021-05,1146.2
2021-06,1280.2
2021-07,1173.1
2021-08,1032.8
2021-09,1075.8
2021-10,974.4
2021-11,1007.2
2021-12,1087.6
2022-01,1159.0
2022-02,1182.2
2022-03,1164.9
2022-04,1129.3
2022-05,1147.9
2022-06,1157.1
2022-07,1231.5
2022-08,1093.5
2022-09,1028.1
2022-10,1009.7
2022-11,1009.5
2022-12,1097.2
2023-01,1156.7
2023-02,1186.8
2023-03,1194.6
2023-04,1220.6
2023-05,1277.0
2023-06,1269.6
2023-07,1183.1
2023-08,1163.2
2023-09,1030.8
2023-10,1026.9
2023-11,1155.2
2023-12,1153.2
2024-01,1249.6
2024-02,1268.0
2024-03,1258.3
2024-04,1232.0
2024-05,1260.0
2024-06,1338.8
2024-07,1235.5
2024-08,1161.3
2024-09,1199.3
2024-10,1004.1
2024-11,1047.9
2024-12,1197.4
2025-01,1230.6
2025-02,1318.8
2025-03,1330.4
2025-04,1209.2
2025-05,1265.1
2025-06,1332.1
2025-07,1381.2
2025-08,1223.7
2025-09,1155.9
2025-10,1079.8
2025-11,1148.4
2025-12,1255.6
