obs,vendas,renda_pessoal,confianca,d2,d3,d4,ln_vendas,tendencia
1986:1,53.7140007019043,84.18000030517578,286.6000061035156,0,0,0,3.983673572540283,1
1986:2,71.5009994506836,85.04000091552734,290.29998779296875,1,0,0,4.269711494445801,2
1986:3,96.3740005493164,84.56999969482422,284.5,0,1,0,4.568236351013184,3
1986:4,125.04100036621094,83.61000061035156,276.1000061035156,0,0,1,4.828641891479492,4
1987:1,78.61000061035156,87.5199966430664,271.3999938964844,0,0,0,4.364499092102051,5
1987:2,89.60900115966797,84.9000015258789,275.3999938964844,1,0,0,4.495455741882324,6
1987:3,104.02200317382812,87.18000030517578,281.70001220703125,0,1,0,4.644602298736572,7
1987:4,108.55799865722656,86.30999755859375,259.20001220703125,0,0,1,4.687284469604492,8
1988:1,64.74099731445312,90.7300033569336,277.0,0,0,0,4.170394420623779,9
1988:2,80.05799865722656,88.52999877929688,280.70001220703125,1,0,0,4.38275146484375,10
1988:3,110.6709976196289,92.0500030517578,288.1000061035156,0,1,0,4.706562042236328,11
1988:4,144.58700561523438,89.97000122070312,279.0,0,0,1,4.973881244659424,12
1989:1,81.58899688720703,94.91999816894533,287.6000061035156,0,0,0,4.401694297790527,13
1989:2,91.35399627685548,93.94000244140624,272.79998779296875,1,0,0,4.514741897583008,14
1989:3,108.13300323486328,97.93000030517578,277.3999938964844,0,1,0,4.683362007141113,15
1989:4,135.1750030517578,95.13999938964844,275.29998779296875,0,0,1,4.9065704345703125,16
1990:1,89.13400268554688,96.5999984741211,273.79998779296875,0,0,0,4.490140914916992,17
1990:2,97.76499938964844,94.11000061035156,272.79998779296875,1,0,0,4.582566738128662,18
1990:3,97.3740005493164,96.62999725341795,237.3999938964844,0,1,0,4.578559398651123,19
1990:4,124.02400207519533,97.6999969482422,195.3999938964844,0,0,1,4.820475101470947,20
1991:1,74.58899688720703,98.6500015258789,224.8999938964844,0,0,0,4.31199312210083,21
1991:2,95.69200134277344,98.01000213623048,242.1999969482422,1,0,0,4.5611348152160645,22
1991:3,96.94200134277344,99.33000183105467,247.8999938964844,0,1,0,4.574112892150879,23
1991:4,126.81700134277344,97.58999633789062,215.6000061035156,0,0,1,4.842745304107666,24
1992:1,69.90699768066406,100.2699966430664,212.3000030517578,0,0,0,4.247165679931641,25
1992:2,89.1510009765625,99.91999816894533,236.8000030517578,1,0,0,4.490331649780273,26
1992:3,94.52100372314452,101.62000274658205,228.3000030517578,0,1,0,4.548821926116943,27
1992:4,147.88499450683594,101.43000030517578,249.6000061035156,0,0,1,4.996434688568115,28
